year;tidal_level;sample
2008;low;MA1
2008;low;MA2
2008;low;MA3
2008;low;MA4
2008;low;MA5
2008;middle;MA6
2008;middle;MA7
2008;middle;MA8
2008;middle;MA9
2008;middle;MA10
