"N1age.2.length.N1age..";"N_bez_spata.1.length.N_bez_spata....1."
"2002";225;1256,66666666667
"2003";414;1130,625
"2004";690;1682
"2005";118;1705,38461538462
"2006";150;802
"2007";544;830
"2008";402;1168
"2009";240;1329
"2010";100;1004
"2011";74;670
"2012";78;344
