"Estuary";"Goreliy";"Lomnishniy";"razrez2";"YuG";"ZRS"
"Estuary";1;0,089;-0,226;0,388;0,793;0,029
"Goreliy";0,089;1;-0,003;0,955;0,515;0,986
"Lomnishniy";-0,226;-0,003;1;NA;0,212;0,914
"razrez2";0,388;0,955;NA;1;NA;0,965
"YuG";0,793;0,515;0,212;NA;1;0,276
"ZRS";0,029;0,986;0,914;0,965;0,276;1
