"Estuary";"Goreliy";"Lomnishniy";"razrez2";"YuG";"ZRS"
"Estuary";0,001;0,134;0,658;0,099;0,001;0,172
"Goreliy";0,13;0,001;0,417;0,013;0,006;0,001
"Lomnishniy";0,793;0,413;0,005;NA;0,316;0,125
"razrez2";0,118;0,009;NA;0,001;NA;0,019
"YuG";0,001;0,004;0,189;NA;0,001;0,119
"ZRS";0,176;0,001;0,128;0,02;0,12;0,001
