"Estuary";"Goreliy";"Lomnishniy";"razrez2";"YuG";"ZRS"
"Estuary";0,001;0,125;0,627;0,088;0,003;0,172
"Goreliy";0,129;0,001;0,53;0,013;0,002;0,001
"Lomnishniy";0,813;0,573;0,003;NA;0,292;0,14
"razrez2";0,107;0,013;NA;0,001;NA;0,015
"YuG";0,001;0,001;0,19;NA;0,001;0,111
"ZRS";0,192;0,001;0,106;0,02;0,111;0,001
