"site";"year";"sample";"N1y_t1";"MAY_t";"JUN_t";"JUL_t";"AUG_t";"SEP_t";"OCT_t";"NOV_t";"DEC_t";"JAN_t1";"FEB_t1";"MAR_t1";"APR_t1";"MAY_t1";"JUN_t1";"JUL_t1"
"Goreliy";"1992";"mg9";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg1";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg10";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg11";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg12";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg13";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg2";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg3";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg4";30;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg5";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg6";10;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg7";70;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg8";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg9";30;;;;;;;;;;;;;;;
"Goreliy";"1994";"mg1";50;;;;;;;;;;;;;;;
"Goreliy";"1994";"mg2";250;;;;;;;;;;;;;;;
"Goreliy";"1994";"mg3";70;;;;;;;;;;;;;;;
"Goreliy";"1994";"mg4";0;;;;;;;;;;;;;;;
"Goreliy";"1995";"mg1";10;;;;;;;;;;;;;;;
"Goreliy";"1995";"mg2";10;;;;;;;;;;;;;;;
"Goreliy";"1995";"mg3";230;;;;;;;;;;;;;;;
"Goreliy";"1995";"mg4";260;;;;;;;;;;;;;;;
"Goreliy";"1996";"mg1";0;;;;;;;;;;;;;;;
"Goreliy";"1996";"mg2";110;;;;;;;;;;;;;;;
"Goreliy";"1996";"mg3";0;;;;;;;;;;;;;;;
"Goreliy";"1996";"mg4";30;;;;;;;;;;;;;;;
"Goreliy";"1997";"mg1";10;;;;;;;;;;;;;;;
"Goreliy";"1997";"mg2";10;;;;;;;;;;;;;;;
"Goreliy";"1997";"mg3";0;;;;;;;;;;;;;;;
"Goreliy";"1997";"mg4";50;;;;;;;;;;;;;;;
"Goreliy";"1998";"mg1";170;;;;;;;;;;;;;;;
"Goreliy";"1998";"mg2";320;;;;;;;;;;;;;;;
"Goreliy";"1998";"mg3";280;;;;;;;;;;;;;;;
"Goreliy";"1998";"mg4";310;;;;;;;;;;;;;;;
"Goreliy";"1999";"mg1";1270;;;;;;;;;;;;;;;
"Goreliy";"1999";"mg2";4610;;;;;;;;;;;;;;;
"Goreliy";"1999";"mg3";1510;;;;;;;;;;;;;;;
"Goreliy";"1999";"mg4";1220;;;;;;;;;;;;;;;
"Goreliy";"2000";"mg1";1840;;;;;;;;;;;;;;;
"Goreliy";"2000";"mg2";1220;;;;;;;;;;;;;;;
"Goreliy";"2000";"mg3";150;;;;;;;;;;;;;;;
"Goreliy";"2000";"mg4";0;;;;;;;;;;;;;;;
"Goreliy";"2001";"mg1";350;;;;;;;;;;;;;;;
"Goreliy";"2001";"mg2";130;;;;;;;;;;;;;;;
"Goreliy";"2001";"mg3";110;;;;;;;;;;;;;;;
"Goreliy";"2001";"mg4";40;;;;;;;;;;;;;;;
"Goreliy";"2002";"mg1";230;;;;;;;;;;;;;;;
"Goreliy";"2002";"mg2";170;;;;;;;;;;;;;;;
"Goreliy";"2002";"mg3";100;;;;;;;;;;;;;;;
"Goreliy";"2002";"mg4";20;;;;;;;;;;;;;;;
"Goreliy";"2003";"mg1";340;;;;;;;;;;;;;;;
"Goreliy";"2003";"mg2";140;;;;;;;;;;;;;;;
"Goreliy";"2003";"mg3";550;;;;;;;;;;;;;;;
"Goreliy";"2003";"mg4";50;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg1-1";1500;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg1-2";660;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg1-3";720;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg2-1";270;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg2-2";540;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg2-3";210;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg3-1";0;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg3-2";0;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg3-3";90;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg4-1";30;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg4-2";90;;;;;;;;;;;;;;;
"Goreliy";"2004";"mg4-3";90;;;;;;;;;;;;;;;
"Goreliy";"2005";"mg1";570;;;;;;;;;;;;;;;
"Goreliy";"2005";"mg2";250;;;;;;;;;;;;;;;
"Goreliy";"2005";"mg3";0;;;;;;;;;;;;;;;
"Goreliy";"2005";"mg4";10;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg1-1";720;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg1-2";360;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg1-3";240;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg2-1";810;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg2-2";240;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg2-3";780;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg3-1";30;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg3-2";30;;;;;;;;;;;;;;;
"Goreliy";"2006";"mg3-3";60;;;;;;;;;;;;;;;
