"site";"year";"sample";"N1y_t1";"MAY_t";"JUN_t";"JUL_t";"AUG_t";"SEP_t";"OCT_t";"NOV_t";"DEC_t";"JAN_t1";"FEB_t1";"MAR_t1";"APR_t1";"MAY_t1";"JUN_t1";"JUL_t1"
"razrez2";"1998";"II-15";930;;;;;;;;;;;;;;;
"razrez2";"1998";"II-16";180;;;;;;;;;;;;;;;
"razrez2";"1998";"II-17";30;;;;;;;;;;;;;;;
"razrez2";"1998";"II-18";600;;;;;;;;;;;;;;;
"razrez2";"1998";"II-19";180;;;;;;;;;;;;;;;
"razrez2";"1998";"II-2";180;;;;;;;;;;;;;;;
"razrez2";"1998";"II-20";120;;;;;;;;;;;;;;;
"razrez2";"1998";"II-3";1950;;;;;;;;;;;;;;;
"razrez2";"1998";"II-4";60;;;;;;;;;;;;;;;
"razrez2";"1998";"II-5";690;;;;;;;;;;;;;;;
"razrez2";"1998";"II-6";960;;;;;;;;;;;;;;;
"razrez2";"1998";"II-7";0;;;;;;;;;;;;;;;
"razrez2";"1998";"II-8";840;;;;;;;;;;;;;;;
"razrez2";"1998";"II-9";870;;;;;;;;;;;;;;;
"razrez2";"1999";"II-1";270;;;;;;;;;;;;;;;
"razrez2";"1999";"II-10";480;;;;;;;;;;;;;;;
"razrez2";"1999";"II-11";1230;;;;;;;;;;;;;;;
"razrez2";"1999";"II-12";2670;;;;;;;;;;;;;;;
"razrez2";"1999";"II-13";330;;;;;;;;;;;;;;;
"razrez2";"1999";"II-14";2820;;;;;;;;;;;;;;;
"razrez2";"1999";"II-15";480;;;;;;;;;;;;;;;
"razrez2";"1999";"II-16";0;;;;;;;;;;;;;;;
"razrez2";"1999";"II-17";10020;;;;;;;;;;;;;;;
"razrez2";"1999";"II-18";420;;;;;;;;;;;;;;;
"razrez2";"1999";"II-19";690;;;;;;;;;;;;;;;
"razrez2";"1999";"II-2";840;;;;;;;;;;;;;;;
"razrez2";"1999";"II-20";1470;;;;;;;;;;;;;;;
"razrez2";"1999";"II-3";1080;;;;;;;;;;;;;;;
"razrez2";"1999";"II-4";2100;;;;;;;;;;;;;;;
"razrez2";"1999";"II-5";150;;;;;;;;;;;;;;;
"razrez2";"1999";"II-6";210;;;;;;;;;;;;;;;
"razrez2";"1999";"II-7";210;;;;;;;;;;;;;;;
"razrez2";"1999";"II-8";420;;;;;;;;;;;;;;;
"razrez2";"1999";"II-9";810;;;;;;;;;;;;;;;
"razrez2";"2000";"II-1";300;;;;;;;;;;;;;;;
"razrez2";"2000";"II-10";600;;;;;;;;;;;;;;;
"razrez2";"2000";"II-11";300;;;;;;;;;;;;;;;
"razrez2";"2000";"II-12";0;;;;;;;;;;;;;;;
"razrez2";"2000";"II-13";360;;;;;;;;;;;;;;;
"razrez2";"2000";"II-14";240;;;;;;;;;;;;;;;
"razrez2";"2000";"II-15";60;;;;;;;;;;;;;;;
"razrez2";"2000";"II-2";540;;;;;;;;;;;;;;;
"razrez2";"2000";"II-3";990;;;;;;;;;;;;;;;
"razrez2";"2000";"II-4";390;;;;;;;;;;;;;;;
"razrez2";"2000";"II-5";1710;;;;;;;;;;;;;;;
"razrez2";"2000";"II-6";420;;;;;;;;;;;;;;;
"razrez2";"2000";"II-7";300;;;;;;;;;;;;;;;
"razrez2";"2000";"II-8";90;;;;;;;;;;;;;;;
"razrez2";"2000";"II-9";480;;;;;;;;;;;;;;;
"razrez2";"2002";"II-1";90;;;;;;;;;;;;;;;
"razrez2";"2002";"II-10";240;;;;;;;;;;;;;;;
"razrez2";"2002";"II-11";240;;;;;;;;;;;;;;;
"razrez2";"2002";"II-12";240;;;;;;;;;;;;;;;
"razrez2";"2002";"II-2";30;;;;;;;;;;;;;;;
"razrez2";"2002";"II-3";30;;;;;;;;;;;;;;;
"razrez2";"2002";"II-4";540;;;;;;;;;;;;;;;
"razrez2";"2002";"II-5";240;;;;;;;;;;;;;;;
"razrez2";"2002";"II-6";660;;;;;;;;;;;;;;;
"razrez2";"2002";"II-7";420;;;;;;;;;;;;;;;
"razrez2";"2002";"II-8";30;;;;;;;;;;;;;;;
"razrez2";"2002";"II-9";90;;;;;;;;;;;;;;;
"razrez2";"2004";"II-1";630;;;;;;;;;;;;;;;
"razrez2";"2004";"II-10";0;;;;;;;;;;;;;;;
"razrez2";"2004";"II-11";360;;;;;;;;;;;;;;;
"razrez2";"2004";"II-12";0;;;;;;;;;;;;;;;
"razrez2";"2004";"II-2";900;;;;;;;;;;;;;;;
"razrez2";"2004";"II-3";30;;;;;;;;;;;;;;;
"razrez2";"2004";"II-4";180;;;;;;;;;;;;;;;
"razrez2";"2004";"II-5";690;;;;;;;;;;;;;;;
"razrez2";"2004";"II-6";360;;;;;;;;;;;;;;;
"razrez2";"2004";"II-7";990;;;;;;;;;;;;;;;
"razrez2";"2004";"II-8";240;;;;;;;;;;;;;;;
"razrez2";"2004";"II-9";480;;;;;;;;;;;;;;;
"YuG";"2001";"10";0;;;;;;;;;;;;;;;
"YuG";"2001";"11";120;;;;;;;;;;;;;;;
"YuG";"2001";"12";210;;;;;;;;;;;;;;;
"YuG";"2001";"13";30;;;;;;;;;;;;;;;
"YuG";"2001";"14";180;;;;;;;;;;;;;;;
"YuG";"2001";"15";60;;;;;;;;;;;;;;;
"YuG";"2001";"7";30;;;;;;;;;;;;;;;
"YuG";"2001";"8";30;;;;;;;;;;;;;;;
"YuG";"2001";"9";150;;;;;;;;;;;;;;;
"YuG";"2002";"1";150;;;;;;;;;;;;;;;
"YuG";"2002";"10";870;;;;;;;;;;;;;;;
"YuG";"2002";"11";540;;;;;;;;;;;;;;;
"YuG";"2002";"12";420;;;;;;;;;;;;;;;
"YuG";"2002";"13";240;;;;;;;;;;;;;;;
"YuG";"2002";"14";150;;;;;;;;;;;;;;;
"YuG";"2002";"15";60;;;;;;;;;;;;;;;
"YuG";"2002";"16";30;;;;;;;;;;;;;;;
"YuG";"2002";"2";0;;;;;;;;;;;;;;;
"YuG";"2002";"3";60;;;;;;;;;;;;;;;
"YuG";"2002";"4";300;;;;;;;;;;;;;;;
"YuG";"2002";"5";0;;;;;;;;;;;;;;;
"YuG";"2002";"6";0;;;;;;;;;;;;;;;
"YuG";"2002";"7";0;;;;;;;;;;;;;;;
"YuG";"2002";"8";720;;;;;;;;;;;;;;;
"YuG";"2002";"9";60;;;;;;;;;;;;;;;
"YuG";"2003";"1";180;;;;;;;;;;;;;;;
"YuG";"2003";"10";780;;;;;;;;;;;;;;;
"YuG";"2003";"11";150;;;;;;;;;;;;;;;
"YuG";"2003";"12";60;;;;;;;;;;;;;;;
"YuG";"2003";"13";480;;;;;;;;;;;;;;;
"YuG";"2003";"14";210;;;;;;;;;;;;;;;
"YuG";"2003";"15";0;;;;;;;;;;;;;;;
"YuG";"2003";"2";60;;;;;;;;;;;;;;;
"YuG";"2003";"3";180;;;;;;;;;;;;;;;
"YuG";"2003";"4";450;;;;;;;;;;;;;;;
"YuG";"2003";"5";2130;;;;;;;;;;;;;;;
"YuG";"2003";"6";0;;;;;;;;;;;;;;;
"YuG";"2003";"7";510;;;;;;;;;;;;;;;
"YuG";"2003";"8";210;;;;;;;;;;;;;;;
"YuG";"2003";"9";810;;;;;;;;;;;;;;;
"YuG";"2004";"1";60;;;;;;;;;;;;;;;
"YuG";"2004";"10";60;;;;;;;;;;;;;;;
"YuG";"2004";"11";540;;;;;;;;;;;;;;;
"YuG";"2004";"12";90;;;;;;;;;;;;;;;
"YuG";"2004";"13";1590;;;;;;;;;;;;;;;
"YuG";"2004";"2";180;;;;;;;;;;;;;;;
"YuG";"2004";"3";480;;;;;;;;;;;;;;;
"YuG";"2004";"4";120;;;;;;;;;;;;;;;
"YuG";"2004";"5";2340;;;;;;;;;;;;;;;
"YuG";"2004";"6";630;;;;;;;;;;;;;;;
"YuG";"2004";"7";300;;;;;;;;;;;;;;;
"YuG";"2004";"8";2550;;;;;;;;;;;;;;;
"YuG";"2004";"9";30;;;;;;;;;;;;;;;
"YuG";"2005";"1";30;;;;;;;;;;;;;;;
"YuG";"2005";"10";90;;;;;;;;;;;;;;;
"YuG";"2005";"11";420;;;;;;;;;;;;;;;
"YuG";"2005";"12";30;;;;;;;;;;;;;;;
"YuG";"2005";"13";30;;;;;;;;;;;;;;;
"YuG";"2005";"14";0;;;;;;;;;;;;;;;
"YuG";"2005";"15";480;;;;;;;;;;;;;;;
"YuG";"2005";"2";390;;;;;;;;;;;;;;;
"YuG";"2005";"3";60;;;;;;;;;;;;;;;
"YuG";"2005";"4";0;;;;;;;;;;;;;;;
"YuG";"2005";"5";60;;;;;;;;;;;;;;;
"YuG";"2005";"6";0;;;;;;;;;;;;;;;
"YuG";"2005";"7";30;;;;;;;;;;;;;;;
"YuG";"2005";"8";120;;;;;;;;;;;;;;;
"YuG";"2005";"9";30;;;;;;;;;;;;;;;
"YuG";"2006";"1";0;;;;;;;;;;;;;;;
"YuG";"2006";"10";240;;;;;;;;;;;;;;;
"YuG";"2006";"11";0;;;;;;;;;;;;;;;
"YuG";"2006";"12";480;;;;;;;;;;;;;;;
"YuG";"2006";"2";0;;;;;;;;;;;;;;;
"YuG";"2006";"3";30;;;;;;;;;;;;;;;
"YuG";"2006";"4";480;;;;;;;;;;;;;;;
"YuG";"2006";"5";30;;;;;;;;;;;;;;;
"YuG";"2006";"6";360;;;;;;;;;;;;;;;
"YuG";"2006";"7";30;;;;;;;;;;;;;;;
"YuG";"2006";"8";30;;;;;;;;;;;;;;;
"YuG";"2006";"9";120;;;;;;;;;;;;;;;
"YuG";"2007";"1";0;;;;;;;;;;;;;;;
"YuG";"2007";"10";210;;;;;;;;;;;;;;;
"YuG";"2007";"11";1770;;;;;;;;;;;;;;;
"YuG";"2007";"12";3000;;;;;;;;;;;;;;;
"YuG";"2007";"13";0;;;;;;;;;;;;;;;
"YuG";"2007";"14";180;;;;;;;;;;;;;;;
"YuG";"2007";"15";810;;;;;;;;;;;;;;;
"YuG";"2007";"2";120;;;;;;;;;;;;;;;
"YuG";"2007";"3";30;;;;;;;;;;;;;;;
"YuG";"2007";"4";450;;;;;;;;;;;;;;;
"YuG";"2007";"5";660;;;;;;;;;;;;;;;
"YuG";"2007";"6";630;;;;;;;;;;;;;;;
"YuG";"2007";"7";30;;;;;;;;;;;;;;;
"YuG";"2007";"8";0;;;;;;;;;;;;;;;
"YuG";"2007";"9";270;;;;;;;;;;;;;;;
"YuG";"2008";"1";570;;;;;;;;;;;;;;;
"YuG";"2008";"10";60;;;;;;;;;;;;;;;
"YuG";"2008";"2";780;;;;;;;;;;;;;;;
"YuG";"2008";"3";300;;;;;;;;;;;;;;;
"YuG";"2008";"4";90;;;;;;;;;;;;;;;
"YuG";"2008";"5";390;;;;;;;;;;;;;;;
"YuG";"2008";"6";570;;;;;;;;;;;;;;;
"YuG";"2008";"7";660;;;;;;;;;;;;;;;
"YuG";"2008";"8";150;;;;;;;;;;;;;;;
"YuG";"2008";"9";450;;;;;;;;;;;;;;;
"YuG";"2009";"1";0;;;;;;;;;;;;;;;
"YuG";"2009";"10";90;;;;;;;;;;;;;;;
"YuG";"2009";"11";30;;;;;;;;;;;;;;;
"YuG";"2009";"12";360;;;;;;;;;;;;;;;
"YuG";"2009";"13";420;;;;;;;;;;;;;;;
"YuG";"2009";"14";300;;;;;;;;;;;;;;;
"YuG";"2009";"15";30;;;;;;;;;;;;;;;
"YuG";"2009";"2";360;;;;;;;;;;;;;;;
"YuG";"2009";"3";120;;;;;;;;;;;;;;;
"YuG";"2009";"4";150;;;;;;;;;;;;;;;
"YuG";"2009";"5";1290;;;;;;;;;;;;;;;
"YuG";"2009";"6";330;;;;;;;;;;;;;;;
"YuG";"2009";"7";30;;;;;;;;;;;;;;;
"YuG";"2009";"8";0;;;;;;;;;;;;;;;
"YuG";"2009";"9";90;;;;;;;;;;;;;;;
"YuG";"2010";"1";30;;;;;;;;;;;;;;;
"YuG";"2010";"10";210;;;;;;;;;;;;;;;
"YuG";"2010";"11";180;;;;;;;;;;;;;;;
"YuG";"2010";"12";270;;;;;;;;;;;;;;;
"YuG";"2010";"13";150;;;;;;;;;;;;;;;
"YuG";"2010";"14";0;;;;;;;;;;;;;;;
"YuG";"2010";"15";0;;;;;;;;;;;;;;;
"YuG";"2010";"2";90;;;;;;;;;;;;;;;
"YuG";"2010";"3";180;;;;;;;;;;;;;;;
"YuG";"2010";"4";60;;;;;;;;;;;;;;;
"YuG";"2010";"5";0;;;;;;;;;;;;;;;
"YuG";"2010";"6";150;;;;;;;;;;;;;;;
"YuG";"2010";"7";60;;;;;;;;;;;;;;;
"YuG";"2010";"8";60;;;;;;;;;;;;;;;
"YuG";"2010";"9";60;;;;;;;;;;;;;;;
"YuG";"2011";"1";0;;;;;;;;;;;;;;;
"YuG";"2011";"10";90;;;;;;;;;;;;;;;
"YuG";"2011";"11";240;;;;;;;;;;;;;;;
"YuG";"2011";"12";30;;;;;;;;;;;;;;;
"YuG";"2011";"13";90;;;;;;;;;;;;;;;
"YuG";"2011";"14";0;;;;;;;;;;;;;;;
"YuG";"2011";"15";0;;;;;;;;;;;;;;;
"YuG";"2011";"2";120;;;;;;;;;;;;;;;
"YuG";"2011";"3";60;;;;;;;;;;;;;;;
"YuG";"2011";"4";90;;;;;;;;;;;;;;;
"YuG";"2011";"5";0;;;;;;;;;;;;;;;
"YuG";"2011";"6";0;;;;;;;;;;;;;;;
"YuG";"2011";"7";90;;;;;;;;;;;;;;;
"YuG";"2011";"8";240;;;;;;;;;;;;;;;
"YuG";"2011";"9";60;;;;;;;;;;;;;;;
"YuG";"2012";"1";0;;;;;;;;;;;;;;;
"YuG";"2012";"10";210;;;;;;;;;;;;;;;
"YuG";"2012";"11";30;;;;;;;;;;;;;;;
"YuG";"2012";"12";30;;;;;;;;;;;;;;;
"YuG";"2012";"13";0;;;;;;;;;;;;;;;
"YuG";"2012";"14";0;;;;;;;;;;;;;;;
"YuG";"2012";"15";0;;;;;;;;;;;;;;;
"YuG";"2012";"2";390;;;;;;;;;;;;;;;
"YuG";"2012";"3";0;;;;;;;;;;;;;;;
"YuG";"2012";"4";180;;;;;;;;;;;;;;;
"YuG";"2012";"5";0;;;;;;;;;;;;;;;
"YuG";"2012";"6";180;;;;;;;;;;;;;;;
"YuG";"2012";"7";30;;;;;;;;;;;;;;;
"YuG";"2012";"8";30;;;;;;;;;;;;;;;
"YuG";"2012";"9";90;;;;;;;;;;;;;;;
"ZRS";"1994";"mbb1";0;;;;;;;;;;;;;;;
"ZRS";"1994";"mbb2";0;;;;;;;;;;;;;;;
"ZRS";"1995";"mbb1";10;;;;;;;;;;;;;;;
"ZRS";"1995";"mbb2";20;;;;;;;;;;;;;;;
"ZRS";"1996";"mbb1";0;;;;;;;;;;;;;;;
"ZRS";"1996";"mbb2";0;;;;;;;;;;;;;;;
"ZRS";"1997";"mbb1";10;;;;;;;;;;;;;;;
"ZRS";"1997";"mbb2";0;;;;;;;;;;;;;;;
"ZRS";"1998";"mbb1";120;;;;;;;;;;;;;;;
"ZRS";"1998";"mbb2";250;;;;;;;;;;;;;;;
"ZRS";"1999";"mbb1";2580;;;;;;;;;;;;;;;
"ZRS";"1999";"mbb2";3890;;;;;;;;;;;;;;;
"ZRS";"2000";"mbb1";580;;;;;;;;;;;;;;;
"ZRS";"2000";"mbb2";1120;;;;;;;;;;;;;;;
"ZRS";"2001";"mbb1";130;;;;;;;;;;;;;;;
"ZRS";"2001";"mbb2";90;;;;;;;;;;;;;;;
"ZRS";"2002";"mbb1";30;;;;;;;;;;;;;;;
"ZRS";"2002";"mbb2";30;;;;;;;;;;;;;;;
"ZRS";"2003";"mbb1";40;;;;;;;;;;;;;;;
"ZRS";"2003";"mbb2";10;;;;;;;;;;;;;;;
"ZRS";"2004";"mbb1";440;;;;;;;;;;;;;;;
"ZRS";"2004";"mbb2";130;;;;;;;;;;;;;;;
"ZRS";"2005";"mbb1";110;;;;;;;;;;;;;;;
"ZRS";"2005";"mbb2";40;;;;;;;;;;;;;;;
"ZRS";"2006";"mbb1";40;;;;;;;;;;;;;;;
"ZRS";"2006";"mbb2";40;;;;;;;;;;;;;;;
"ZRS";"2007";"mbb1";40;;;;;;;;;;;;;;;
"ZRS";"2007";"mbb2";70;;;;;;;;;;;;;;;
"ZRS";"2008";"mbb1";350;;;;;;;;;;;;;;;
"ZRS";"2008";"mbb2";430;;;;;;;;;;;;;;;
"ZRS";"2009";"mbb1";160;;;;;;;;;;;;;;;
"ZRS";"2009";"mbb2";190;;;;;;;;;;;;;;;
"ZRS";"2010";"mbb1";50;;;;;;;;;;;;;;;
"ZRS";"2010";"mbb2";170;;;;;;;;;;;;;;;
"ZRS";"2011";"mbb1";60;;;;;;;;;;;;;;;
"ZRS";"2011";"mbb2";130;;;;;;;;;;;;;;;
"ZRS";"2012";"mbb1";30;;;;;;;;;;;;;;;
"ZRS";"2012";"mbb2";100;;;;;;;;;;;;;;;
