"(1,2.5]";"(2.5,7.9]";"(7.9,22.3]"
"2001";240;906,666666666667;110
"2002";429,375;622,5;144,375
"2003";960;724;76
"2004";1200;710,769230769231;2,30769230769231
"2005";338;512;10
"2006";337,5;500;5
"2007";932;456;24
"2008";708;657;69
"2009";466;496;160
"2010";210;334;138
"2011";126;176;62
"2012";106;32;4
