"Estuary";"Goreliy";"Klyushuha";"Lomnishniy";"razrez2";"Suhaya";"YuG";"ZRS"
"Estuary";0,001;0,078;0,579;0,979;0,092;0,479;0,009;0,202
"Goreliy";0,091;0,001;0,075;0,626;0,001;0,268;0,991;0,001
"Klyushuha";0,635;0,072;0,001;0,643;0,13;0,195;0,028;0,052
"Lomnishniy";0,992;0,73;0,703;0,002;NA;1;0,053;0,235
"razrez2";0,028;0,001;0,027;NA;0,001;0,113;NA;0,001
"Suhaya";0,493;0,263;0,189;1;0,115;0,001;0,687;0,344
"YuG";0,021;0,983;0,062;0,07;NA;0,698;0,001;0,577
"ZRS";0,178;0,001;0,054;0,316;0,002;0,289;0,592;0,001
