"";"Estuary";"Goreliy";"Klyushuha";"Lomnishniy";"razrez2";"Suhaya";"YuG";"ZRS"
"Estuary";0;1;101;13,8;1;97,9;11,7;11,8
"Goreliy";1;0;100,6;12,9;1,5;97,5;10,7;10,8
"Klyushuha";101;100,6;0;91,1;100,1;5,8;94,8;96,3
"Lomnishniy";13,8;12,9;91,1;0;13,5;87,6;3,7;5,3
"razrez2";1;1,5;100,1;13,5;0;97,1;11,7;11,9
"Suhaya";97,9;97,5;5,8;87,6;97,1;0;91,2;92,7
"YuG";11,7;10,7;94,8;3,7;11,7;91,2;0;1,7
"ZRS";11,8;10,8;96,3;5,3;11,9;92,7;1,7;0
