year;month;mean_temperature
2007;7;13,305
2007;8;14,5281667
2007;9;8,7844444
2007;10;6,13
2007;11;3,607
2007;12;0,7336923
2008;1;NA
2008;2;NA
2008;3;-0,613
2008;4;NA
2008;5;4,5
2008;6;11,7993333
2008;7;14,3674762
2008;8;9,8855
2008;9;8,8674957
2008;10;4,2981875
2008;11;2,13955
2008;12;0,813
2009;1;NA
2009;2;0
2009;3;-0,6042308
2009;4;-0,5210556
2009;5;8,233
2009;6;8,426
2009;7;13,291
2009;8;14,8175667
2009;9;9,0223333
2009;10;2,9965
2009;11;1,588
2009;12;1,324
