year;sample
1994;mbb1
1994;mbb2
1995;mbb1
1995;mbb2
1996;mbb1
1996;mbb2
1997;mbb1
1997;mbb2
1998;mbb1
1998;mbb2
1999;mbb1
1999;mbb2
2000;mbb1
2000;mbb2
2001;mbb1
2001;mbb2
2002;mbb1
2002;mbb2
2003;mbb1
2003;mbb2
2004;mbb1
2004;mbb2
2005;mbb1
2005;mbb2
2006;mbb1
2006;mbb2
2007;mbb1
2007;mbb2
2008;mbb1
2008;mbb2
2009;mbb1
2009;mbb2
2010;mbb1
2010;mbb2
2011;mbb1
2011;mbb2
2012;mbb1
2012;mbb2
