year;sample;Length.mm
1997;mbb2;8,5
1997;mbb2;10,2
1997;mbb2;11,4
1997;mbb2;8
1997;mbb2;7,8
1997;mbb2;8,3
1997;mbb2;8,8
1997;mbb2;11,3
1997;mbb2;8,9
1997;mbb2;7,6
1997;mbb2;3,5
1997;mbb2;7,6
1998;mbb1;2,1
1998;mbb1;2,6
1998;mbb1;1,5
1998;mbb1;2,3
1998;mbb1;2,1
1998;mbb1;1,5
1998;mbb1;1,7
1998;mbb1;1,6
1998;mbb1;1,8
1998;mbb1;1,9
1998;mbb1;1,5
1998;mbb1;1,4
1998;mbb1;1,3
1998;mbb1;1,3
1998;mbb1;1,2
1998;mbb1;12,5
1998;mbb1;13,5
1998;mbb1;13,4
1998;mbb1;12,8
1998;mbb1;14
1998;mbb1;5,3
1998;mbb1;12,8
1998;mbb1;12,5
1998;mbb1;11,4
1998;mbb1;9,9
1998;mbb1;10
1998;mbb1;11,8
1998;mbb1;12,8
1998;mbb1;14,7
1998;mbb1;13,7
1998;mbb1;16,5
1998;mbb1;13
1998;mbb1;13,2
1998;mbb1;11
1998;mbb1;14,5
1998;mbb1;14,4
1998;mbb1;12,9
1998;mbb1;13
1998;mbb1;13,5
1998;mbb1;15,9
1998;mbb1;15
1998;mbb1;7,2
1998;mbb1;2,3
1998;mbb1;1,6
1998;mbb1;1,5
1998;mbb1;2,3
1998;mbb1;6,6
1998;mbb1;6
1998;mbb1;4,5
1998;mbb1;5,8
1998;mbb1;5,3
1998;mbb1;4,3
1998;mbb1;3
1998;mbb1;2,5
1998;mbb1;1,8
1998;mbb1;2
1998;mbb1;1,5
1998;mbb2;1,5
1998;mbb2;1,3
1998;mbb2;1,5
1998;mbb2;2
1998;mbb2;1,7
1998;mbb2;1,4
1998;mbb2;1,5
1998;mbb2;1
1998;mbb2;1,8
1998;mbb2;0,8
1998;mbb2;1,4
1998;mbb2;1,5
1998;mbb2;1,3
1998;mbb2;1,2
1998;mbb2;1,3
1998;mbb2;1,9
1998;mbb2;1,7
1998;mbb2;1
1998;mbb2;1,2
1998;mbb2;1,3
1998;mbb2;1,2
1998;mbb2;1,4
1998;mbb2;1,5
1998;mbb2;1,8
1998;mbb2;1,3
1998;mbb2;1,4
1998;mbb2;1
1998;mbb2;2
1998;mbb2;1,5
1998;mbb2;1,2
1998;mbb2;1,8
1998;mbb2;1,2
1998;mbb2;1,2
1998;mbb2;1,2
1998;mbb2;1,5
1998;mbb2;1,4
1998;mbb2;1,4
1998;mbb2;2
1998;mbb2;1
1998;mbb2;1,3
1998;mbb2;1,6
1998;mbb2;1,2
1998;mbb2;1,4
1998;mbb2;1,5
1998;mbb2;1,6
1998;mbb2;1,1
1998;mbb2;1,1
1998;mbb2;1,5
1998;mbb2;2,5
1998;mbb2;1,3
1998;mbb2;1,3
1998;mbb2;14,5
1998;mbb2;13,4
1998;mbb2;12,2
1998;mbb2;13,5
1998;mbb2;6,1
1998;mbb2;11,5
1998;mbb2;13
1998;mbb2;15
1998;mbb2;12,5
1998;mbb2;13,5
1998;mbb2;14
1998;mbb2;6,8
1998;mbb2;11
1998;mbb2;10,1
1998;mbb2;12,8
1998;mbb2;12,8
1998;mbb2;14
1998;mbb2;10
1998;mbb2;13
1998;mbb2;13,3
1998;mbb2;12,5
1998;mbb2;6,5
1998;mbb2;11,5
1998;mbb2;12,1
1998;mbb2;5,7
1998;mbb2;13,1
1998;mbb2;13,1
1998;mbb2;8,1
1998;mbb2;13,1
1998;mbb2;13,5
1998;mbb2;9,5
1998;mbb2;11
1998;mbb2;13,7
1998;mbb2;13,6
1998;mbb2;12,3
1998;mbb2;6
1998;mbb2;6,3
1998;mbb2;13,5
1998;mbb2;13
1998;mbb2;7,5
1998;mbb2;11,2
1998;mbb2;10,1
1998;mbb2;13
1998;mbb2;5,4
1998;mbb2;13,1
1998;mbb2;11,7
1998;mbb2;11,7
1998;mbb2;1,5
1999;mbb1;8,7
1999;mbb1;8,2
1999;mbb1;14,2
1999;mbb1;8
1999;mbb1;5,9
1999;mbb1;4,8
1999;mbb1;14,7
1999;mbb1;16,8
1999;mbb1;14,3
1999;mbb1;9
1999;mbb1;4,7
1999;mbb1;8,2
1999;mbb1;7,9
1999;mbb1;4,9
1999;mbb1;6,4
1999;mbb1;7,5
1999;mbb1;3,6
1999;mbb1;5
1999;mbb1;3,6
1999;mbb1;6
1999;mbb1;6,1
1999;mbb1;6,9
1999;mbb1;10,8
1999;mbb1;4,2
1999;mbb1;5,1
1999;mbb1;1,9
1999;mbb1;4,9
1999;mbb1;5,1
1999;mbb1;5,4
1999;mbb1;14,4
1999;mbb1;17
1999;mbb1;1,3
1999;mbb1;1,2
1999;mbb1;1,4
1999;mbb1;4,3
1999;mbb1;5
1999;mbb1;8,4
1999;mbb1;4,9
1999;mbb1;3,7
1999;mbb1;3,6
1999;mbb1;4,5
1999;mbb1;6,4
1999;mbb1;1,3
1999;mbb1;3,2
1999;mbb1;5
1999;mbb1;8,5
1999;mbb1;4,1
1999;mbb1;4
1999;mbb1;4,3
1999;mbb1;1,5
1999;mbb1;1,5
1999;mbb1;3,3
1999;mbb1;2,7
1999;mbb1;1,5
1999;mbb1;3,4
