"x"
"1994";0
"1995";15
"1996";0
"1997";5
"1998";185
"1999";3235
"2000";850
"2001";110
"2002";30
"2003";25
"2004";285
"2005";75
"2006";40
"2007";55
"2008";390
"2009";175
"2010";110
"2011";95
"2012";65
