"(1,2.5]";"(2.5,7.9]";"(7.9,19.6]"
"1994";40;200;210
"1995";35;185;270
"1996";10;70;180
"1997";5;20;195
"1998";345;90;320
"1999";5755;2430;345
"2000";1810;925;175
"2001";400;1495;620
"2002";175;1635;880
"2003";55;1135;740
"2004";855;685;815
"2005";235;730;860
"2006";135;135;525
"2007";110;125;820
"2008";725;400;715
"2009";665;430;650
"2010";425;595;570
"2011";205;475;775
"2012";150;230;525
