"(1,2.5]";"(2.5,7.9]";"(7.9,16.9]"
"2007";40,7185628742515;54,4910179640719;4,79041916167665
"2008";72,9411764705882;18,0392156862745;9,01960784313725
"2009";12,1771217712177;71,2177121771218;16,6051660516605
"2010";8,33333333333333;60,5555555555556;31,1111111111111
"2011";20,6349206349206;69,0476190476191;10,3174603174603
"2012";47,953216374269;47,953216374269;4,09356725146199
