"(1,2.5]";"(2.5,7.9]";"(7.9,22.3]"
"2001";135;510;61,875
"2002";429,375;622,5;144,375
"2003";900;678,75;71,25
"2004";975;577,5;1,875
"2005";316,875;480;9,375
"2006";253,125;375;3,75
"2007";873,75;427,5;22,5
"2008";442,5;410,625;43,125
"2009";436,875;465;150
"2010";196,875;313,125;129,375
"2011";118,125;165;58,125
"2012";99,375;30;3,75
