"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(1,2]";7,95755968169761;26,1755485893417;33,5608646188851;49,0952955367913;23,4883720930233;22,2551928783383;57,9320113314448;37,2384937238494;32,620320855615;21,1143695014663;28,021978021978;67,6056338028169
"(2,3]";19,0981432360743;18,025078369906;36,8600682593857;22,4366706875754;28,6046511627907;30,5637982195846;12,8895184135977;19,8744769874477;12,8342245989305;16,4222873900293;10,989010989011;14,0845070422535
"(3,4]";20,9549071618037;16,1442006269592;12,8555176336746;13,9927623642943;22,7906976744186;27,893175074184;8,64022662889518;12,3430962343096;8,02139037433155;10,8504398826979;12,0879120879121;11,2676056338028
"(4,5]";14,5888594164456;10,9717868338558;4,66439135381115;9,16767189384801;13,953488372093;12,7596439169139;8,35694050991501;8,99581589958159;8,9126559714795;10,5571847507331;15,3846153846154;2,8169014084507
"(5,6]";10,8753315649867;8,30721003134796;2,04778156996587;2,89505428226779;7,44186046511628;5,04451038575668;6,23229461756374;9,41422594142259;9,09090909090909;9,09090909090909;5,49450549450549;0
"(6,7]";12,9973474801061;4,38871473354232;3,07167235494881;2,05066344993969;1,86046511627907;0,890207715133531;3,25779036827195;2,92887029288703;6,41711229946524;8,50439882697947;6,59340659340659;1,40845070422535
"(7,8]";5,83554376657825;4,70219435736677;3,07167235494881;0,241254523522316;0,930232558139535;0;1,13314447592068;4,81171548117155;8,19964349376114;4,10557184750733;4,3956043956044;0
"(8,9]";5,30503978779841;4,23197492163009;1,2514220705347;0;0,232558139534884;0,29673590504451;0,56657223796034;2,30125523012552;3,74331550802139;5,86510263929619;4,3956043956044;0
"(9,10]";0,795755968169761;3,29153605015674;1,02389078498294;0,120627261761158;0,465116279069767;0,29673590504451;0,708215297450425;1,25523012552301;3,20855614973262;4,98533724340176;3,2967032967033;0
"(10,11]";0,530503978779841;2,03761755485893;0,68259385665529;0;0,232558139534884;0;0,28328611898017;0,627615062761506;2,49554367201426;3,51906158357771;1,64835164835165;0
"(11,12]";0,26525198938992;0,783699059561128;0,455062571103527;0;0;0;0;0,209205020920502;1,24777183600713;1,75953079178886;1,64835164835165;1,40845070422535
"(12,13]";0,26525198938992;0,470219435736677;0,341296928327645;0;0;0;0;0;0,89126559714795;0,879765395894428;2,74725274725275;1,40845070422535
"(13,14]";0,26525198938992;0,156739811912226;0,113765642775882;0;0;0;0;0;1,7825311942959;1,75953079178886;2,1978021978022;0
"(14,15]";0,26525198938992;0,313479623824451;0;0;0;0;0;0;0;0,293255131964809;1,0989010989011;0
"(15,16]";0;0;0;0;0;0;0;0;0,53475935828877;0,293255131964809;0;0
"(16,17]";0;0;0;0;0;0;0;0;0;0;0;0
"(17,18]";0;0;0;0;0;0;0;0;0;0;0;0
"(18,19]";0;0;0;0;0;0;0;0;0;0;0;0
"(19,20]";0;0;0;0;0;0;0;0;0;0;0;0
