"(1,2.5]";"(2.5,7.9]";"(7.9,18.2]"
"1992";0;1,25;12,5
"1993";4,16666666666667;39,1666666666667;7,08333333333333
"1994";17,5;40,4166666666667;39,1666666666667
"1995";12,0833333333333;17,9166666666667;29,1666666666667
"1996";2,5;14,1666666666667;25,4166666666667
"1997";0;7,08333333333333;19,5833333333333
"1998";61,25;10;22,5
"1999";177,5;77,0833333333333;4,58333333333333
"2000";22,9166666666667;201,666666666667;14,5833333333333
"2001";30,4166666666667;256,666666666667;38,75
"2002";16,25;185;38,3333333333333
"2003";72,0833333333333;112,5;92,9166666666667
"2004";181,25;113,75;121,25
"2005";49,5833333333333;73,3333333333333;80
"2006";17,0833333333333;47,9166666666667;59,1666666666667
"2007";563,75;185;206,25
"2008";80;66,6666666666667;63,75
"2009";91,6666666666667;94,1666666666667;46,6666666666667
"2010";72,0833333333333;113,75;71,25
"2011";73,75;240;300
"2012";20,4166666666667;51,6666666666667;74,1666666666667
