Day_Of_Year,period_day,month,date,year,m0,m5,m10,m15,m25,m50,m65
19,,1,19,1979,-0.1,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5
46,27,2,15,1979,-0.8,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
78,32,3,19,1979,-0.4,-1.3,-1.3,-1.3,-0.9,-0.5,-0.4
106,28,4,16,1979,-0.4,-1.2,-1.3,-1.1,-0.8,-0.5,-0.5
135,29,5,15,1979,0.2,-0.5,-0.8,-0.7,-0.5,-0.5,-0.5
142,7,5,22,1979,2.8,0.7,-0.4,-0.7,-0.7,-0.7,-0.7
150,8,5,30,1979,4.8,3.8,0,-0.5,-0.7,-0.7,-0.7
162,12,6,11,1979,6,5.8,0.1,-0.6,-0.7,-0.8,-0.8
172,10,6,21,1979,9.5,7.3,7,4.5,1.1,-0.6,-0.6
182,10,7,1,1979,14.2,5.8,3.8,2.5,0.8,-0.5,-0.5
191,9,7,10,1979,15.8,12.2,10.4,5,1.5,-0.5,-0.5
201,10,7,20,1979,15.2,14.4,13.1,9.5,4.5,-0.1,-0.2
211,10,7,30,1979,15.2,14,12.4,8,2.3,-0.3,-0.3
221,10,8,9,1979,13.9,13.9,13.9,13.8,1.3,0,0
232,11,8,20,1979,14.4,13,9.6,7,4.1,0.5,0.4
242,10,8,30,1979,12.4,12.4,12.4,12.4,4,1.1,1.1
253,11,9,10,1979,10.5,7,5,3,1.3,-0.1,-0.2
263,10,9,20,1979,8.6,8.4,7.4,6.6,5.5,1.1,0.9
274,11,10,1,1979,7.3,7.3,7.3,7.2,5.5,0.9,0.8
283,9,10,10,1979,5.2,5.3,5.3,5.3,2.6,0.5,0.3
293,10,10,20,1979,3,3,3.2,3.3,2.8,1,0.9
304,11,10,31,1979,2,2.5,2.7,2.8,2.3,0.6,0.5
315,11,11,11,1979,1,1.2,1.5,1.7,2.2,1.3,1.3
325,10,11,21,1979,1.4,1.5,1.6,1.7,1.8,1.9,1.9
333,8,11,29,1979,-0.1,0,0.4,0.5,0.5,1.9,1.9
345,12,12,11,1979,-1.3,-1.3,-1.3,-1.3,-1.3,1,1
33,33,2,2,1980,-1,-1,-1,-0.7,-0.3,0,0
46,13,2,15,1980,-1.1,-1.2,-1.4,-1.5,-0.7,-0.1,-0.1
63,17,3,3,1980,-1,-1,-1,-0.8,-0.5,-0.1,0
79,16,3,19,1980,-1,-1,-1,-0.5,-0.2,-0.2,-0.2
101,22,4,10,1980,-0.8,-1,-1.1,-1,-0.7,-0.2,-0.2
112,11,4,21,1980,-1.2,-1.3,-1,-0.8,-0.3,-0.2,-0.2
120,8,4,29,1980,-0.2,-0.7,-0.4,-0.3,-0.3,-0.3,-0.3
141,21,5,20,1980,2.2,1.6,0.5,-0.2,-0.5,-0.6,-0.6
151,10,5,30,1980,6.4,5.2,2.8,1.4,0.1,-0.4,-0.4
163,12,6,11,1980,11.2,10.7,8.8,5,0.8,-0.2,-0.2
172,9,6,20,1980,13.3,11,8.2,3.6,0.2,-0.4,-0.4
181,9,6,29,1980,12.7,12.7,12.2,9,2.5,-0.2,-0.2
192,11,7,10,1980,14,13.6,13.2,12,3.8,0.3,0.3
203,11,7,21,1980,14.1,14.1,13.5,13,9.5,0.7,0.7
212,9,7,30,1980,16,15.7,14.7,12.4,6,1,0.9
224,12,8,11,1980,13.6,13.5,13.5,13.5,13.4,1.4,1
233,9,8,20,1980,14.7,14.6,14.1,13.6,10.2,1.6,1.2
241,8,8,28,1980,12.8,13.1,13.1,13.1,6.5,0.6,0.4
255,14,9,11,1980,11.2,11.2,11.1,10.6,5.8,1.5,1.5
265,10,9,21,1980,11.1,11.3,11.3,11.3,7.5,1.8,1.6
275,10,10,1,1980,8,8,4,2.7,1.5,0.5,0.5
285,10,10,11,1980,5.6,5.6,5.5,5.2,4.2,1.5,1.5
294,9,10,20,1980,5.7,5.7,5.6,5.5,5,1.4,1.2
306,12,11,1,1980,3,3,3,3,3,1.7,1.4
315,9,11,10,1980,1.7,1.7,1.7,1.7,1.7,0.1,0.1
324,9,11,19,1980,-0.6,0.1,0.3,0.8,0.9,0.2,0.1
333,9,11,28,1980,-1.4,-1.4,-1.4,-1.4,-1.4,0.3,0.4
43,43,2,12,1981,-1.2,-1.3,-1.2,-1.1,-0.3,0.1,0.1
61,18,3,2,1981,-1.2,-1.2,-1.2,-1.2,-0.6,-0.2,-0.4
79,18,3,20,1981,-1.2,-1.2,-1.2,-1.2,-0.6,-0.2,-0.3
133,54,5,13,1981,-0.6,-0.3,-0.5,-0.7,-0.9,-0.9,-0.9
161,28,6,10,1981,8.2,5,1.8,0.6,-0.2,-0.9,-0.9
171,10,6,20,1981,8,7.5,5.5,4.6,0.7,-0.5,0
180,9,6,29,1981,12.8,10,6,5.2,3.9,0.5,0.2
191,11,7,10,1981,14.4,11.5,9.8,7.2,4.2,1.2,1.2
201,10,7,20,1981,12.7,13,8,5.8,4.3,0.8,0.7
213,12,8,1,1981,14.6,14.3,12.4,8.6,5.4,1.8,1.6
223,10,8,11,1981,13.8,14.2,13.9,12,4,0,0
232,9,8,20,1981,11.2,9,5.6,4,2.5,0.8,0.7
243,11,8,31,1981,10.6,10.6,10.6,10.6,5.2,2.2,2.1
253,10,9,10,1981,9.6,10,10.2,10.2,9,2,1.6
264,11,9,21,1981,7.5,8.8,8.6,7.3,3.4,1.4,1.3
272,8,9,29,1981,6.7,6.6,6.6,6.2,5,1.2,1
283,11,10,10,1981,7,7.1,7.2,6.8,5.2,1.7,1.6
294,11,10,21,1981,4.5,4.5,5,6,5.8,2.8,2.4
302,8,10,29,1981,4.2,4.3,4.3,4.8,4.6,2.4,2.2
315,13,11,11,1981,2.8,2.8,2.9,3,3.5,2.7,2.1
325,10,11,21,1981,2.1,2.1,2.2,3.2,3.2,1.5,1.1
334,9,11,30,1981,0.6,0.7,1.5,1.7,1.9,2,2.1
344,10,12,10,1981,0,0.1,0.1,0.1,0.1,0.2,0.3
354,10,12,20,1981,-1.2,-1.2,-1.2,-1.1,-0.1,0.9,0.9
7,7,1,7,1982,-0.6,-0.9,-1.1,-1,0.4,-0.6,-0.7
31,24,1,31,1982,-0.8,-0.2,-0.1,-0.3,0.1,0.3,0.3
47,16,2,16,1982,-0.5,-0.5,-0.5,-0.7,-0.3,0,0
74,27,3,15,1982,-0.6,-0.6,-0.7,-0.2,-0.1,-0.6,-0.6
90,16,3,31,1982,-0.4,-0.9,-0.9,-1.2,-1.2,-0.4,-0.4
99,9,4,9,1982,-0.4,-0.9,-0.9,-1.1,-0.9,-0.5,-0.5
