year;tidal_level;sample;Length.mm;age
2008;middle;MSh4;5,8;2
2008;middle;MSh3;8,6;3
2008;middle;MSh5;7,0;5
2008;middle;MSh1;14,6;9
2008;middle;MSh1;14,3;10
2008;middle;MSh2;15,4;10
2008;middle;MSh2;9,2;5
2008;middle;MSh1;14,8;10
2008;middle;MSh5;14,7;NA
2008;high;MSh6;8,2;5
2008;high;MSh6;10,9;7
2008;high;MSh7;10,1;8
2008;high;MSh10;14,9;12
2008;high;MSh7;15,4;12
