CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
,PROJECT ,Data archaeology and rescue,,,,,,,,
,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,,,,,,,,,
,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
3,NUMBER,,,,,,,,,
STATION,13300,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,1,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,6.2,23.8,,,,,,,
,10,3.2,26.41,,,,,,,
,15,-0.5,27.55,,,,,,,
,25,-0.7,27.83,,,,,,,
,65,-0.7,27.93,,,,,,,

STATION,13310,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,11,1997

HEADERS,,, , , 
LAT END,66,19.5,,N,
LONG END,33,39.4,,E,
BOTTOM DEPTH,65,m,,,
COMMENTS,,,,,

DETAILS,DEPTH,TEMP,SAL,,
units,m,C,psu,,
decimal places,0,1,2,,
,0,12,23,,
,10,5.2,25.02,,
,15,2.5,25.78,,
,25,0.7,27.51,,
,50,-0.3,27.65,,
,65,-0.2,27.94,,

STATION,13320,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,21,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,11,24.47,,,,,,,
,10,9.5,25.6,,,,,,,
,15,8.4,25.63,,,,,,,
,25,1.2,26.02,,,,,,,
,50,0,27.09,,,,,,,
,65,-0.1,27.35,,,,,,,

STATION,13329,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,30,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,14.7,21.87,,,,,,,
,10,8.6,24.24,,,,,,,
,15,6.4,25.06,,,,,,,
,25,2.3,25.65,,,,,,,
,50,-0.6,27.54,,,,,,,
,65,-0.6,27.86,,,,,,,

STATION,13339,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,10,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,13.8,24.55,,,,,,,
,10,12,24.55,,,,,,,
,15,5.6,25.16,,,,,,,
,25,1.5,25.78,,,,,,,
,50,-0.3,27.22,,,,,,,
,65,-0.3,27.34,,,,,,,

STATION,13350,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,21,1997

HEADERS,,, , , 
LAT END,66,19.5,,N,
LONG END,33,39.4,,E,
BOTTOM DEPTH,65,m,,,
COMMENTS,,,,,

DETAILS,DEPTH,TEMP,SAL,,
units,m,C,psu,,
decimal places,0,1,2,,
,0,17.8,23.78,,
,5,15.2,,,
,10,12.9,24.55,,
,15,6.3,24.7,,
,25,2.2,26.1,,
,50,-0.2,27.04,,
,65,-0.2,27.62,,,,,,,

STATION,13360,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,31,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,15.1,23.82,,,,,,,
,5,15,,,,,,,,
,10,12,24.4,,,,,,,
,15,8.5,24.63,,,,,,,
,25,4.4,25.02,,,,,,,
,50,0.3,27.6,,,,,,,
,65,0.2,27.7,,,,,,,

STATION,13371,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,11,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,14.7,24.4,,,,,,,
,5,14.4,,,,,,,,
,10,13.8,25.5,,,,,,,
,15,7.6,25,,,,,,,
,25,1.6,26.91,,,,,,,
,50,0.1,27.37,,,,,,,
,65,0,27.54,,,,,,,

STATION,13380,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,20,1997

HEADERS,,, , , 
LAT END,66,19.5,,N,
LONG END,33,39.4,,E,
BOTTOM DEPTH,65,m,,,
COMMENTS,,,,,

DETAILS,DEPTH,TEMP,SAL,,
units,m,C,psu,,
decimal places,0,1,2,,
,0,13.4,24.1,,
,5,13,,,
,10,11.2,26.27,,
,15,3.2,27.16,,
,25,1,27.57,,
,50,0.1,28.02,,
,65,0,28.1,,

STATION,13390,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,30,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,11.9,24.91,,,,,,,
,5,10,,,,,,,,
,10,8.4,25.96,,,,,,,
,15,5.3,26.2,,,,,,,
,25,2.4,26.75,,,,,,,
,50,0.7,27.26,,,,,,,
,65,0.7,27.31,,,,,,,

STATION,13402,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,11,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,9.6,25.85,,,,,,,
,5,9.2,,,,,,,,
,10,8.4,26.12,,,,,,,
,15,7.5,25.96,,,,,,,
,25,4.5,26.28,,,,,,,
,50,0.8,27.22,,,,,,,
,65,0.8,27.24,,,,,,,

STATION,13412,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,21,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,2,
,0,8.35,25.81,
,5,8.3,,
,10,8.4,25.85,
,15,8.4,25.96,
,25,5.5,26.28,
,50,1.9,26.91,
,65,1.2,27.19,

STATION,13421,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,30,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,7.7,25.49,,,,,,,
,5,7.7,,,,,,,,
,10,7.6,25.57,,,,,,,
,15,6.6,25.73,,,,,,,
,25,3.3,26.52,,,,,,,
,50,1.1,26.91,,,,,,,
,65,1,27.19,,,,,,,

STATION,13430,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,10,9,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,5.6,25.84,,,,,,,
,5,5.7,,,,,,,,
,10,6.2,25.65,,,,,,,
,15,6.4,25.31,,,,,,,
,25,5.5,26.14,,,,,,,
,50,2.4,26.81,,,,,,,
,65,2.2,26.82,,,,,,,

STATION,13439,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,10,20,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,2,
,0,4.5,26.2,
,5,4.5,,
,10,4.7,26.28,
,15,4.8,26.52,
,25,3.6,26.55,
,50,2.2,26.96,
,65,2,27.03,

STATION,13448,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,10,30,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2,,,,,,,
,0,2.8,25.33,,,,,,,
,5,2.8,,,,,,,,
,10,2.8,25.34,,,,,,,
,15,3,25.51,,,,,,,
,25,3.1,27.17,,,,,,,
,50,1.1,27.13,,,,,,,
,65,0.8,27.27,,,,,,,

STATION,13457,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,11,15,1997

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,2
,0,-0.9,26.6
,5,0.9,
,10,1.1,26.81
,15,1.4,26.46
,25,1.2,27
,65,0.6,27.27

