CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
,PROJECT ,Data archaeology and rescue,,,,,,,,
,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,,,,,,,,,
,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
3,NUMBER,,,,,,,,,
STATION,5889,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,15,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,UNDER ICE MESUREMENTS,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,-1.2,25.2,
,5,-1.2,26.4,
,10,-1.2,27.2,
,15,-1.2,27.4,
,25,-1.2,27.7,
,50,-0.8,27.9,
,65,-0.5,27.7,

STATION,5917,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,3,15,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,-1.3,25.6,,,,,,,
,5,-1.5,26.1,,,,,,,
,10,-1.5,27.2,,,,,,,
,15,-1.5,26.8,,,,,,,
,25,-0.9,27.7,,,,,,,
,50,-0.1,28.5,,,,,,,
,65,0,28.3,,,,,,,

STATION,5949,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,4,16,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,-1.2,24.8,,,,,,,
,5,-1,26.8,,,,,,,
,10,-0.7,27.7,,,,,,,
,15,-0.5,27.7,,,,,,,
,25,-0.5,28.6,,,,,,,
,50,-0.9,29,,,,,,,
,65,-0.9,29.2,,,,,,,

STATION,5995,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,1,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,6.8,20.2,,,,,,,
,5,5.2,25.3,,,,,,,
,10,2.6,25.6,,,,,,,
,15,1.5,26.5,,,,,,,
,25,-0.7,27.9,,,,,,,
,50,-0.9,28.1,,,,,,,
,65,-0.9,28.6,,,,,,,

STATION,6007,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,13,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,6.7,25,,,,,,,
,5,6.1,25.1,,,,,,,
,10,5.7,25.9,,,,,,,
,15,4.8,26.1,,,,,,,
,25,2.5,27.5,,,,,,,
,50,-0.6,28.1,,,,,,,
,65,-0.6,28.3,,,,,,,

STATION,6010,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,16,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,7.3,25.6,,,,,,,
,5,7.3,25.6,,,,,,,
,10,7.1,25.6,,,,,,,
,15,5.5,25.9,,,,,,,
,25,0.2,27.5,,,,,,,
,50,-0.3,27.9,,,,,,,
,65,-0.3,28.3,,,,,,,

STATION,6024,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,30,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,10,24.5,,,,,,,
,5,8,25.7,,,,,,,
,10,5.4,26.1,,,,,,,
,15,4.3,26.8,,,,,,,
,25,0.5,28.5,,,,,,,
,50,-0.3,28.8,,,,,,,
,65,-0.3,29.1,,,,,,,

STATION,6034,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,10,1977

HEADERS,,, , , 
LAT END,66,19.5,,N,
LONG END,33,39.4,,E,
BOTTOM DEPTH,65,m,,,
COMMENTS,,,,,

DETAILS,DEPTH,TEMP,SAL,,
units,m,C,psu,,
decimal places,0,1,1,,
,0,13.3,24.5,,
,5,12.9,26.2,,
,10,4.5,27,,
,15,3.4,27.2,,
,25,2.2,27.9,,
,50,0.2,27.9,,
,65,0.1,28.6,,,,,,,

STATION,6043,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,19,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,13.8,23.2,,,,,,,
,5,11.7,25.5,,,,,,,
,10,11.7,26.6,,,,,,,
,15,11.8,26.3,,,,,,,
,25,6.6,26.6,,,,,,,
,50,1.8,27.9,,,,,,,
,65,1.4,28.6,,,,,,,

STATION,6054,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,30,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,16.7,25.2,,,,,,,
,5,15,25.2,,,,,,,
,10,11.8,26.1,,,,,,,
,15,11,26.1,,,,,,,
,25,9,26.8,,,,,,,
,50,2.1,28,,,,,,,
,65,1.8,27.7,,,,,,,

STATION,6065,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,10,1977

HEADERS,,, , , 
LAT END,66,19.5,,N,
LONG END,33,39.4,,E,
BOTTOM DEPTH,65,m,,,
COMMENTS,,,,,

DETAILS,DEPTH,TEMP,SAL,,
units,m,C,psu,,
decimal places,0,1,1,,
,0,17.4,23.2,,
,5,16.4,24.8,,
,10,15.6,25.7,,
,15,13,25.7,,
,25,9.6,26.4,,
,50,3.1,27.9,,
,65,2.8,27.7,,

STATION,6075,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,20,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,14.4,25.2,,,,,,,
,5,14.4,25.2,,,,,,,
,10,14.3,25.7,,,,,,,
,15,14.3,25.4,,,,,,,
,25,13.2,25.7,,,,,,,
,50,1.7,27.9,,,,,,,
,65,1,28.4,,,,,,,

STATION,6084,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,29,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,12.6,24.1,,,,,,,
,5,12.8,24.7,,,,,,,
,10,13,25.2,,,,,,,
,15,12.9,25.9,,,,,,,
,25,9.5,26.6,,,,,,,
,50,2,27.7,,,,,,,
,65,1.8,27.9,,,,,,,

STATION,6096,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,10,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,10.4,25.1,
,5,10.4,25.2,
,10,10.7,25.6,
,15,10.1,26,
,25,7.1,27,
,50,3,28,
,65,2.8,26.5,

STATION,6107,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,21,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,8,25.4,,,,,,,
,5,8,25.5,,,,,,,
,10,8,25.6,,,,,,,
,15,8,26,,,,,,,
,25,7.6,26,,,,,,,
,50,3.4,26.7,,,,,,,
,65,3.2,27,,,,,,,

STATION,6116,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,30,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,7.1,25.4,,,,,,,
,5,7.1,25.5,,,,,,,
,10,6.8,26.2,,,,,,,
,15,5,26.5,,,,,,,
,25,1.1,27.4,,,,,,,
,50,0.8,27.8,,,,,,,
,65,0.7,28.2,,,,,,,

STATION,6126,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,10,10,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,3.8,24,
,5,4.5,25.9,
,10,4.5,26.7,
,15,4.4,26.9,
,25,4,27.2,
,50,3,27.8,
,65,2,27.8,

STATION,6134,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,10,18,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,2.6,25.3,,,,,,,
,5,3,25.9,,,,,,,
,10,3.8,27,,,,,,,
,15,3.8,26.7,,,,,,,
,25,3.8,27.2,,,,,,,
,50,3.3,27.5,,,,,,,
,65,3.1,27.8,,,,,,,

STATION,6146,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,10,30,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,3,25.9,,,,,,,
,5,3,26,,,,,,,
,10,3,26.2,,,,,,,
,15,3,26.8,,,,,,,
,25,3.2,27.3,,,,,,,
,50,2.7,27.2,,,,,,,
,65,2.2,28.5,,,,,,,

STATION,6157,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,11,10,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,3,26.4,,,,,,,
,5,3,26.5,,,,,,,
,10,3,26.7,,,,,,,
,15,3.3,26.8,,,,,,,
,25,3.4,27.2,,,,,,,
,50,2.6,27.4,,,,,,,
,65,2.5,28.3,,,,,,,

STATION,6167,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,11,20,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,1.8,26.9,,,,,,,
,5,1.8,26.3,,,,,,,
,10,1.9,26.2,,,,,,,
,15,2.1,27,,,,,,,
,25,2.3,27.1,,,,,,,
,50,2.9,27.2,,,,,,,
,65,2.9,27,,,,,,,

STATION,6177,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,11,30,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,1,26.8,,,,,,,
,5,1.4,27,,,,,,,
,10,1.4,27.2,,,,,,,
,15,1.4,26.4,,,,,,,
,25,1.5,26.2,,,,,,,
,50,3.1,28,,,,,,,
,65,3.1,27.7,,,,,,,

STATION,6187,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,12,10,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,

DETAILS,DEPTH,TEMP,SAL
units,m,C,psu
