"Var1";"Var2";"Freq"
"215";"M-2";"2003";NA
"216";"M-20";"2003";NA
"217";"M-21";"2003";NA
"218";"M-22";"2003";NA
"219";"M-23";"2003";NA
"220";"M-24";"2003";NA
"221";"M-25";"2003";NA
"222";"M-3";"2003";NA
"223";"M-4";"2003";NA
"224";"M-5";"2003";NA
"225";"M-6";"2003";NA
"226";"M-7";"2003";NA
"227";"M-8";"2003";NA
"228";"M-9";"2003";NA
"229";"mr11";"2003";0
"230";"mr13";"2003";0
"231";"mr14";"2003";0
"232";"mr15";"2003";0
"233";"mr16";"2003";0
"234";"mr18";"2003";0
"235";"mr19";"2003";80
"236";"mr20";"2003";100
"237";"mr21";"2003";10
"238";"mr22";"2003";10
"239";"mr25";"2003";10
"240";"mr6";"2003";0
"241";"mr8";"2003";0
"242";"mr9";"2003";0
"243";"V-1";"2003";30
"244";"V-2";"2003";60
"245";"V-3";"2003";0
"246";"VI-1";"2003";30
"247";"VI-2";"2003";120
"248";"VI-3";"2003";30
"249";"VII-1";"2003";90
"250";"VII-2";"2003";120
"251";"VII-3";"2003";120
"252";"VIII-1";"2003";0
"253";"VIII-2";"2003";0
"254";"VIII-3";"2003";30
"255";"10m2";"2004";NA
"256";"10m3";"2004";NA
"257";"11m1";"2004";NA
"258";"11m2";"2004";NA
"259";"11m3";"2004";NA
"260";"12m1";"2004";NA
"261";"12m2";"2004";NA
"262";"12m3";"2004";NA
"263";"13m1";"2004";NA
"264";"13m2";"2004";NA
"265";"13m3";"2004";NA
"266";"14m1";"2004";NA
"267";"14m2";"2004";NA
"268";"14m3";"2004";NA
"269";"15m1";"2004";NA
"270";"15m3";"2004";NA
"271";"16m3";"2004";NA
"272";"17m1";"2004";NA
"273";"17m2";"2004";NA
"274";"17m3";"2004";NA
"275";"18m1";"2004";NA
"276";"18m3";"2004";NA
"277";"19m1";"2004";NA
"278";"19m2";"2004";NA
"279";"19m3";"2004";NA
"280";"1m1";"2004";NA
"281";"1m2";"2004";NA
"282";"1m3";"2004";NA
