year;sample
2002;VI-2
2002;I-3
2002;II-1
2002;II-3
2002;III-1
2002;III-2
2002;IV-1
2002;IV-2
2002;IV-3
2002;mr11
2002;mr13
2002;mr14
2002;mr15
2002;mr16
2002;mr18
2002;mr19
2002;mr6
2002;mr8
2002;mr9
2002;V-1
2002;V-2
2002;V-3
2002;VI-1
2002;VII-1
2002;VII-2
2002;VII-3
2002;VIII-1
2002;VIII-2
2002;VIII-3
2002;I-1
2002;I-2
2002;II-1
2002;II-2
2002;III-3
2002;VI-3
2002;mr1
2002;mr2
2002;mr3
2002;mr4
2002;mr5
2002;mr7
2002;mr10
2002;mr17
2003;I-2
2003;II-1
2003;III-1
2003;III-2
2003;III-3
2003;IV-1
2003;IV-3
2003;mr19
2003;mr20
2003;mr21
2003;mr22
2003;mr25
2003;V-1
2003;V-2
2003;VI-1
2003;VI-2
2003;VI-3
2003;VII-1
2003;VII-2
2003;VII-3
2003;VIII-3
2003;I-1
2003;I-3
2003;II-2
2003;II-3
2003;IV-2
2003;V-3
2003;VIII-1
2003;VIII-2
2003;mr1
2003;mr2
2003;mr3
2003;mr4
2003;mr5
2003;mr6
2003;mr7
2003;mr8
2003;mr9
2003;mr10
2003;mr11
2003;mr13
2003;mr14
2003;mr15
2003;mr16
2003;mr17
2003;mr18
2003;mr23
2003;mr24
2004;III-1
2004;III-2
2004;III-3
2004;M-19
2004;M-1
2004;M-13
2004;M-14
2004;M-16
2004;M-17
2004;M-18
2004;M-2
2004;M-23
2004;M-24
2004;M-23
2004;M-3
2004;I-1
2004;I-2
2004;I-3
2004;M-11
2004;M-13
2004;M-13
2004;M-20
2004;M-21
2004;M-22
2004;M-4
2004;M-6
2004;M-7
2004;M-8
2004;II-1
2004;II-2
2004;II-3
2004;M-3
2004;M-9
2004;M10
2005;I-1
2005;I-2
2005;I-3
2005;II-1
2005;II-2
2005;II-3
2005;III-1
2005;III-2
2005;III-3
2005;M-10
2005;M-11
2005;M-13
2005;M-14
2005;M-15
2005;M-16
2005;M-18
2005;M-19
2005;M-20
2005;M-21
2005;M-22
2005;M-23
2005;M-24
2005;M-25
2005;M-3
2005;M-4
2005;M-5
2005;M-6
2005;M-7
2005;M-8
2005;M-9
2006;I-2
2006;M-6
2006;M-8
2006;M-7
2006;III-1
2006;III-2
2006;III-3
2006;II-2
2006;II-3
2006;M-11
2006;M-20
2006;M-9
2006;M-15
2006;M-25
2006;M-16
2006;M-17
2006;M-18
2006;M-19
2006;M-13
2006;M-14
2006;M-24
2006;M-23
2006;M-22
2006;M-21
2006;M-5
2006;M-3
2006;M-2
2006;M-1
2007;I-1
2007;I-2
2007;II-2
2007;III-1
2007;III-2
2007;III-3
2007;1m1
2007;1m3
2007;2m1
2007;2m2
2007;2m3
2007;3m1
2007;3m2
2007;4m1
2007;4m2
2007;5m1
2007;5m3
2007;6m2
2007;6m3
2007;7m1
2007;7m3
2007;8m2
2007;8m3
2007;9m1
2007;9m2
2007;9m3
2007;10m2
2007;10m3
2007;11m1
2007;11m3
2007;12m1
2007;12m2
2007;12m3
2008;1Рј1
2008;1Рј2
2008;1Рј3
2008;2Рј1
2008;2Рј2
2008;2Рј3
2008;3Рј1
2008;3Рј2
2008;3Рј3
2008;4Рј1
2008;4Рј2
2008;4Рј3
2008;5Рј1
2008;5Рј2
2008;5Рј3
2008;6Рј1
2008;6Рј2
2008;6Рј3
2008;7Рј1
2008;7Рј2
2008;7Рј3
2008;8Рј1
2008;8Рј2
2008;8Рј3
2008;9Рј1
2008;9Рј2
2008;9Рј3
2008;10Рј1
2008;10Рј2
2008;10Рј3
2008;11Рј1
2008;11Рј2
2008;11Рј3
2008;12Рј1
2008;12Рј2
2008;12Рј3
2008;13m1
2008;13m2
2008;13m3
2008;14m1
2008;14m2
2008;14m3
2008;15m1
2008;15m2
2008;15m3
2008;16m1
2008;16m2
2008;16m3
2008;17m1
2008;17m2
2008;17m3
2008;18m1
2008;18m2
2008;18m3
2008;19m1
2008;19m2
2008;19m3
2008;20m1
2008;20m2
2008;20m3
2008;21m1
2008;21m2
2008;21m3
2008;22m1
2008;22m2
2008;22m3
2008;23m1
2008;23m2
2008;23m3
2008;24m1
2008;24m2
2008;24m3
