year;sample;Length.mm
2006;III-3;2,1
2006;II-2;14,1
2006;II-3;16,1
2006;II-3;13,9
2006;M-11;4,3
2006;M-11;3
2006;M-11;3,3
2006;M-20;13,7
2006;M-20;3,7
2006;M-20;15,3
2006;M-20;12,6
2006;M-20;15,1
2006;M-20;17,3
2006;M-20;18,7
2006;M-20;17,5
2006;M-20;13,2
2006;M-20;13,4
2006;M-20;8,5
2006;M-9;17,3
2006;M-15;17,9
2006;M-15;15,6
2006;M-15;16
2006;M-15;12,8
2006;M-15;15
2006;M-15;13,9
2006;M-15;13,8
2006;M-25;19
2006;M-25;15,5
2006;M-25;15,9
2006;M-25;5,1
2006;M-16;18,2
2006;M-16;15,6
2006;M-16;14,1
2006;M-16;12
2006;M-16;4,2
2006;M-16;3
2006;M-17;18
2006;M-17;4,5
2006;M-18;17,7
2006;M-18;16,8
2006;M-18;12,9
2006;M-18;3,7
2006;M-19;3,6
2006;M-13;13,7
2006;M-13;12,8
2006;M-13;12
2006;M-13;12,5
2006;M-13;12,2
2006;M-13;3,5
2006;M-13;3,4
2006;M-13;4,2
2006;M-13;4,3
2006;M-14;13,9
2006;M-24;17,8
2006;M-24;4,6
2006;M-23;16,7
2006;M-22;18,5
2006;M-22;18,5
2006;M-22;18,5
2006;M-22;14,8
2006;M-22;13
2006;M-22;12,6
2006;M-21;20
2006;M-21;18,5
2006;M-21;19,5
2006;M-21;15,6
2006;M-21;19
2006;M-5;15
2006;M-5;14,3
2006;M-5;13
2006;M-3;14,5
2006;M-2;13,4
2006;M-2;6,1
2006;M-1;16,9
2007;1m1;9,4
2007;1m1;15,1
2007;1m3;14,8
2007;1m3;18
2007;1m3;19
2007;2m1;8,4
2007;2m1;15,2
2007;2m1;17,3
2007;2m2;17,4
2007;2m2;17,6
2007;2m2;18,4
2007;2m3;12,4
2007;2m3;18,1
2007;3m1;7,9
2007;3m1;9,8
2007;3m1;13,9
2007;3m1;14,8
2007;3m1;17,8
2007;3m2;5,8
2007;3m2;13,4
2007;3m2;17
2007;4m1;9,8
2007;4m1;14,6
2007;4m2;9,5
2007;4m2;14,5
2007;4m2;16,3
2007;5m1;14,4
2007;5m3;15
2007;6m2;15,2
2007;6m2;16,2
2007;6m2;16,5
2007;6m3;3
2007;7m1;7,4
2007;7m3;14,5
2007;7m3;14,8
2007;7m3;15,5
2007;7m3;15,5
2007;8m2;18,2
2007;8m3;10,2
2007;8m3;15
2007;9m1;2,5
2007;9m1;9,5
2007;9m2;8,4
2007;9m2;13,7
2007;9m3;20
2007;10m2;6,5
2007;10m2;15,6
2007;10m3;8,1
2007;10m3;14
2007;10m3;17,7
2007;11m1;15,6
2007;11m1;15,9
2007;11m3;8,5
2007;11m3;15,5
2007;11m3;15,7
2007;11m3;15,7
2007;12m1;14,6
2007;12m1;15,2
2007;12m2;14
2007;12m3;6,9
2007;12m3;8,8
2007;12m3;14
2007;I-1;2,8
2007;I-1;2,8
2007;I-1;3,4
2007;I-1;16,9
2007;I-1;17,4
2007;I-2;9,8
2007;II-2;15,6
2007;III-1;9,2
2007;III-2;9,3
2007;III-2;14
2007;III-2;14,2
2007;III-2;15,2
2007;III-2;15,4
2007;III-3;2,5
2007;III-3;8,5
2007;III-3;14,4
2007;III-3;15,4
2008;12m1;13,8
2008;12m1;17
2008;1m3;3
2008;1m3;15
2008;1m3;18
2008;1m2;16,5
2008;1m2;16,5
2008;1m2;17,5
2008;7m3;2,1
2008;7m3;6,8
2008;7m3;9
2008;7m3;13
2008;7m3;17,3
2008;7m3;13,2
2008;7m3;17,3
2008;11m1;4,8
2008;5m2;15,3
2008;5m2;16,3
2008;5m2;18,2
2008;12m2;18
2008;6m3;4,6
2008;6m3;13,3
2008;6m3;17,8
2008;6m3;17,5
2008;6m3;19,6
2008;11m3;3,1
2008;11m3;3
2008;11m3;16,9
2008;7m1;13,6
2008;7m1;15,5
2008;7m1;15,3
2008;7m1;15,7
2008;8m3;8,9
2008;8m3;9,3
2008;8m3;17,3
2008;5m3;13
2008;12m3;7,6
2008;12m3;13,2
2008;12m3;12,6
2008;6m1;11,1
2008;6m1;9,9
2008;3m2;5,5
2008;3m2;11,5
2008;3m2;9,9
2008;3m2;18
2008;3m2;18,3
2008;3m2;20
2008;3m2;18,2
2008;7m2;13,6
2008;7m2;15,8
2008;7m2;15,6
2008;7m2;14,5
2008;11m2;13
2008;11m2;13,2
2008;11m2;17,9
2008;10m3;4,2
2008;10m3;3,6
2008;10m3;3,3
2008;10m3;8,6
2008;10m3;11,3
