day;month;year;area;Nst;samples;square
14;8;2008;Medvezhya;6;3;20
15;8;2009;Medvezhya;6;3;20
2;8;2010;Medvezhya;6;3;20
1;8;2011;Medvezhya;6;3;20
4;8;2012;Medvezhya;6;3;20
4;8;2013;Medvezhya;6;3;20
26;7;1987;Medvezhya;7;3;20
11;8;1988;Medvezhya;7;3;20
29;7;1989;Medvezhya;7;3;20
30;7;1990;Medvezhya;7;3;20
1;8;1991;Medvezhya;7;3;20
3;8;1992;Medvezhya;7;3;20
14;8;1993;Medvezhya;7;3;20
12;8;1994;Medvezhya;7;3;20
9;8;1995;Medvezhya;7;3;20
2;8;1996;Medvezhya;7;3;20
24;7;1997;Medvezhya;7;3;20
4;8;1998;Medvezhya;7;3;20
16;8;1999;Medvezhya;7;1;20
24;7;2000;Medvezhya;7;3;20
13;8;2001;Medvezhya;7;3;20
11;8;2002;Medvezhya;7;3;20
10;8;2003;Medvezhya;7;3;20
14;8;2004;Medvezhya;7;3;20
2;8;2005;Medvezhya;7;3;20
5;8;2006;Medvezhya;7;3;20
8;8;2007;Medvezhya;7;3;20
14;8;2008;Medvezhya;7;3;20
15;8;2009;Medvezhya;7;3;20
2;8;2010;Medvezhya;7;3;20
1;8;2011;Medvezhya;7;3;20
4;8;2012;Medvezhya;7;3;20
4;8;2013;Medvezhya;7;3;20
30;7;1987;Medvezhya;8;3;20
20;8;1988;Medvezhya;8;3;20
31;7;1989;Medvezhya;8;3;20
31;7;1990;Medvezhya;8;3;20
1;8;1991;Medvezhya;8;3;20
3;8;1992;Medvezhya;8;3;20
14;8;1993;Medvezhya;8;3;20
12;8;1994;Medvezhya;8;3;20
9;8;1995;Medvezhya;8;3;20
2;8;1996;Medvezhya;8;3;20
24;7;1997;Medvezhya;8;3;20
4;8;1998;Medvezhya;8;3;20
16;8;1999;Medvezhya;8;1;20
24;7;2000;Medvezhya;8;3;20
13;8;2001;Medvezhya;8;3;20
11;8;2002;Medvezhya;8;3;20
10;8;2003;Medvezhya;8;3;20
14;8;2004;Medvezhya;8;3;20
2;8;2005;Medvezhya;8;3;20
5;8;2006;Medvezhya;8;3;20
8;8;2007;Medvezhya;8;3;20
14;8;2008;Medvezhya;8;3;20
15;8;2009;Medvezhya;8;3;20
2;8;2010;Medvezhya;8;3;20
1;8;2011;Medvezhya;8;3;20
4;8;2012;Medvezhya;8;3;20
4;8;2013;Medvezhya;8;3;20
