"Medvezhya";"Seldyanaya";"Medvezhya.1";"Seldyanaya.1"
"1987";111,666666666667;66,6666666666667;33,8855769204587;17,2913243850753
"1988";61,6666666666667;102,222222222222;21,6666666666667;60,3180868806221
"1989";88,3333333333333;66,6666666666667;25,8736244937667;13,3333333333333
"1990";53,3333333333333;108,333333333333;13,7803842435177;26,1068124550979
"1991";143,333333333333;128,333333333333;47,7260702109212;27,3538356219438
"1992";81,6666666666667;188,333333333333;16,7799182526512;46,2180820795402
"1993";218,333333333333;305;69,0392217613593;84,6785365098768
"1994";212,083333333333;41,6666666666667;48,9912574658051;36,5459445165406
"1995";451,75;84;130,171164998127;86,0063422608525
"1996";247,166666666667;727,25;17,4142197788201;271,805164315332
"1997";847,666666666667;550,833333333333;145,55980408635;128,478735024654
"1998";3300,41666666667;1218,08333333333;799,735595116261;426,824700698381
"1999";1007,0625;776;456,815544181949;487,026821643326
"2000";289,291666666667;452,375;91,265267223503;140,013055735939
"2001";910,583333333333;594,291666666667;188,26946993095;233,861381325573
"2002";1208,66666666667;556,083333333333;247,92832032707;133,054711253938
"2003";984,208333333333;840,833333333333;193,686460337137;296,360501277029
"2004";815,666666666667;1434,16666666667;293,366602366115;321,696269637977
"2005";656,583333333333;1853,54166666667;111,174954827102;546,669868309869
"2006";327,5;1695,54166666667;51,6251421599041;553,630608096192
"2007";485,916666666667;2089,33333333333;88,775910288066;655,234420037608
"2008";358,375;797,708333333333;142,422242541165;219,749775556935
"2009";1816,91666666667;928,888888888889;388,033927529722;291,817922420264
"2010";504,958333333333;841,5;124,925136041147;237,789082439192
"2011";673,5;869,458333333333;141,345455812304;288,676751553751
"2012";481,791666666667;560,875;103,322063015641;262,631187456859
"2013";363,041666666667;204,75;137,366029201311;51,1441997363012
