day;month;year;area;Nst;sample;N.sample;B.sample
6;8;2001;Seldyanaya;4;n3;0;0
4;8;2002;Seldyanaya;4;n3;3,275;2,06
5;8;2003;Seldyanaya;4;n3;0;0
7;8;2004;Seldyanaya;4;n3;63,9;4,88
23;7;2005;Seldyanaya;4;n3;19,65;0,05
30;7;2006;Seldyanaya;4;n3;0;0
4;8;2007;Seldyanaya;4;n3;0;0
5;8;2008;Seldyanaya;4;n3;15,975;1,09
28;7;2010;Seldyanaya;4;n3;6,55;0,01
6;8;2011;Seldyanaya;4;n3;19,65;2,07
30;7;2012;Seldyanaya;4;n3;0;0
29;7;2013;Seldyanaya;4;n3;3,275;1,35
1;8;1987;Medvezhya;5;n3;2;0,04
16;8;1988;Medvezhya;5;n3;1;0,34
25;7;1989;Medvezhya;5;n3;4;0,56
3;8;1990;Medvezhya;5;n3;2;0,02
3;8;1991;Medvezhya;5;n3;4;0,42
3;8;1992;Medvezhya;5;n3;5;0,43
16;8;1993;Medvezhya;5;n3;9;0,07
12;8;1994;Medvezhya;5;n3;35,65;1,07
9;8;1995;Medvezhya;5;n3;24,7;1,26
2;8;1996;Medvezhya;5;n3;6;0,47
24;7;1997;Medvezhya;5;n3;45,75;0,92
10;8;1998;Medvezhya;5;n3;34,95;0,13
16;8;1999;Medvezhya;5;n3;NA;NA
30;7;2000;Medvezhya;5;n3;19,65;0,17
13;8;2001;Medvezhya;5;n3;99,125;1,07
11;8;2002;Medvezhya;5;n3;61,825;0,10
10;8;2003;Medvezhya;5;n3;19,65;0,75
14;8;2004;Medvezhya;5;n3;22,925;0,43
2;8;2005;Medvezhya;5;n3;25,8;1,97
5;8;2006;Medvezhya;5;n3;6,55;0,26
8;8;2007;Medvezhya;5;n3;13,1;1,25
14;8;2008;Medvezhya;5;n3;13,1;0,49
15;8;2009;Medvezhya;5;n3;41,375;0,76
2;8;2010;Medvezhya;5;n3;0;0
1;8;2011;Medvezhya;5;n3;31,95;0,85
4;8;2012;Medvezhya;5;n3;28,675;0,09
6;8;2013;Medvezhya;5;n3;3,275;0,49
23;7;1987;Medvezhya;6;n3;5;0,18
14;8;1988;Medvezhya;6;n3;0;0,00
26;7;1989;Medvezhya;6;n3;1;0,10
3;8;1990;Medvezhya;6;n3;0;0,00
31;7;1991;Medvezhya;6;n3;3;0,43
3;8;1992;Medvezhya;6;n3;3;0,19
16;8;1993;Medvezhya;6;n3;1;0,21
12;8;1994;Medvezhya;6;n3;5;0,11
9;8;1995;Medvezhya;6;n3;6;0,40
2;8;1996;Medvezhya;6;n3;12;1,26
24;7;1997;Medvezhya;6;n3;31,65;3,73
8;8;1998;Medvezhya;6;n3;2;0,18
16;8;1999;Medvezhya;6;n3;NA;NA
24;7;2000;Medvezhya;6;n3;0;0,00
13;8;2001;Medvezhya;6;n3;12,7;0,01
11;8;2002;Medvezhya;6;n3;85,15;0,99
10;8;2003;Medvezhya;6;n3;118,375;0,29
14;8;2004;Medvezhya;6;n3;9,825;1,90
2;8;2005;Medvezhya;6;n3;13,1;0,58
5;8;2006;Medvezhya;6;n3;9,825;0,78
8;8;2007;Medvezhya;6;n3;66,775;0,48
14;8;2008;Medvezhya;6;n3;0;0
15;8;2009;Medvezhya;6;n3;31,95;0,04
2;8;2010;Medvezhya;6;n3;0;0
1;8;2011;Medvezhya;6;n3;26,2;1,95
4;8;2012;Medvezhya;6;n3;0;0
4;8;2013;Medvezhya;6;n3;32,75;2,41
26;7;1987;Medvezhya;7;n3;19;0,75
11;8;1988;Medvezhya;7;n3;2;0,11
29;7;1989;Medvezhya;7;n3;6;0,42
30;7;1990;Medvezhya;7;n3;3;0,26
1;8;1991;Medvezhya;7;n3;1;0,06
3;8;1992;Medvezhya;7;n3;1;0,16
14;8;1993;Medvezhya;7;n3;19;0,68
12;8;1994;Medvezhya;7;n3;8;0,80
9;8;1995;Medvezhya;7;n3;62,8;1,11
2;8;1996;Medvezhya;7;n3;8;0,97
24;7;1997;Medvezhya;7;n3;9;0,70
4;8;1998;Medvezhya;7;n3;290,4;1,13
16;8;1999;Medvezhya;7;n3;NA;NA
24;7;2000;Medvezhya;7;n3;16,375;1,97
13;8;2001;Medvezhya;7;n3;47,925;0,83
11;8;2002;Medvezhya;7;n3;81,075;1,02
10;8;2003;Medvezhya;7;n3;29,075;1,15
14;8;2004;Medvezhya;7;n3;190,9;0,34
2;8;2005;Medvezhya;7;n3;32,35;0,21
5;8;2006;Medvezhya;7;n3;16,375;0,63
8;8;2007;Medvezhya;7;n3;19,65;1,46
14;8;2008;Medvezhya;7;n3;0;0
15;8;2009;Medvezhya;7;n3;165,5;0,13
2;8;2010;Medvezhya;7;n3;26,2;1,59
1;8;2011;Medvezhya;7;n3;45,05;1,47
4;8;2012;Medvezhya;7;n3;35,225;0,93
4;8;2013;Medvezhya;7;n3;13,1;0,76
30;7;1987;Medvezhya;8;n3;10;0,48
20;8;1988;Medvezhya;8;n3;0;0,00
31;7;1989;Medvezhya;8;n3;1;0,05
31;7;1990;Medvezhya;8;n3;3;0,51
1;8;1991;Medvezhya;8;n3;2;0,37
3;8;1992;Medvezhya;8;n3;2;0,05
14;8;1993;Medvezhya;8;n3;22;0,59
12;8;1994;Medvezhya;8;n3;8;1,30
9;8;1995;Medvezhya;8;n3;61,8;1,53
2;8;1996;Medvezhya;8;n3;12;1,90
24;7;1997;Medvezhya;8;n3;46,35;1,98
4;8;1998;Medvezhya;8;n3;228,9;1,37
16;8;1999;Medvezhya;8;n3;NA;NA
24;7;2000;Medvezhya;8;n3;6,55;0,44
13;8;2001;Medvezhya;8;n3;58,55;4,59
11;8;2002;Medvezhya;8;n3;179,8;3,12
10;8;2003;Medvezhya;8;n3;22,925;1,61
14;8;2004;Medvezhya;8;n3;29,475;1,89
2;8;2005;Medvezhya;8;n3;42,575;2,95
5;8;2006;Medvezhya;8;n3;32,75;3,16
8;8;2007;Medvezhya;8;n3;32,35;2,56
14;8;2008;Medvezhya;8;n3;3,275;0,50
15;8;2009;Medvezhya;8;n3;215,75;3,93
2;8;2010;Medvezhya;8;n3;74,125;0,72
1;8;2011;Medvezhya;8;n3;58,95;3,37
4;8;2012;Medvezhya;8;n3;36,025;2,65
4;8;2013;Medvezhya;8;n3;19,65;2,18
