day;month;year;area;Nst;sample;N.sample;B.sample
16;8;1999;Medvezhya;5;n1;40,9375;2,53
30;7;2000;Medvezhya;5;n1;55,675;0,31
13;8;2001;Medvezhya;5;n1;19,25;5,64
11;8;2002;Medvezhya;5;n1;29,475;0,22
10;8;2003;Medvezhya;5;n1;74,925;2,25
14;8;2004;Medvezhya;5;n1;9,825;0,09
2;8;2005;Medvezhya;5;n1;60,625;0,62
5;8;2006;Medvezhya;5;n1;6,55;0,44
8;8;2007;Medvezhya;5;n1;19,25;0,62
14;8;2008;Medvezhya;5;n1;6,55;1,12
15;8;2009;Medvezhya;5;n1;36,025;1,55
2;8;2010;Medvezhya;5;n1;19,65;3,07
1;8;2011;Medvezhya;5;n1;32,75;1,72
4;8;2012;Medvezhya;5;n1;19,25;1,43
6;8;2013;Medvezhya;5;n1;0;0
23;7;1987;Medvezhya;6;n1;11;0,36
14;8;1988;Medvezhya;6;n1;2;0,16
26;7;1989;Medvezhya;6;n1;2;0,13
3;8;1990;Medvezhya;6;n1;0;0,00
31;7;1991;Medvezhya;6;n1;1;0,14
3;8;1992;Medvezhya;6;n1;3;0,54
16;8;1993;Medvezhya;6;n1;0;0,00
12;8;1994;Medvezhya;6;n1;5;0,27
9;8;1995;Medvezhya;6;n1;0;0,00
2;8;1996;Medvezhya;6;n1;12,55;0,51
24;7;1997;Medvezhya;6;n1;9,55;0,22
8;8;1998;Medvezhya;6;n1;116,7;0,25
16;8;1999;Medvezhya;6;n1;6,55;0,01
24;7;2000;Medvezhya;6;n1;19,65;1,27
13;8;2001;Medvezhya;6;n1;31,95;0,47
11;8;2002;Medvezhya;6;n1;26,2;1,91
10;8;2003;Medvezhya;6;n1;22,925;1,43
14;8;2004;Medvezhya;6;n1;28,675;0,54
2;8;2005;Medvezhya;6;n1;13,1;0,87
5;8;2006;Medvezhya;6;n1;9,825;1,45
8;8;2007;Medvezhya;6;n1;22,925;2,78
14;8;2008;Medvezhya;6;n1;9,825;1,81
15;8;2009;Medvezhya;6;n1;35,225;0,77
2;8;2010;Medvezhya;6;n1;38,9;1,73
1;8;2011;Medvezhya;6;n1;9,825;1,10
4;8;2012;Medvezhya;6;n1;9,825;1,56
4;8;2013;Medvezhya;6;n1;6,55;0,61
26;7;1987;Medvezhya;7;n1;11;0,65
11;8;1988;Medvezhya;7;n1;5;0,31
29;7;1989;Medvezhya;7;n1;2;0,16
30;7;1990;Medvezhya;7;n1;2;0,35
1;8;1991;Medvezhya;7;n1;29;0,33
3;8;1992;Medvezhya;7;n1;4;0,45
14;8;1993;Medvezhya;7;n1;1;0,01
12;8;1994;Medvezhya;7;n1;13,05;1,31
9;8;1995;Medvezhya;7;n1;10;1,50
2;8;1996;Medvezhya;7;n1;13,55;0,56
24;7;1997;Medvezhya;7;n1;83,5;1,74
4;8;1998;Medvezhya;7;n1;272,8;2,06
16;8;1999;Medvezhya;7;n1;114,625;0,65
24;7;2000;Medvezhya;7;n1;19,65;2,83
13;8;2001;Medvezhya;7;n1;102;0,35
11;8;2002;Medvezhya;7;n1;15,975;0,05
10;8;2003;Medvezhya;7;n1;76,6;1,73
14;8;2004;Medvezhya;7;n1;54,475;1,05
2;8;2005;Medvezhya;7;n1;58,15;1,25
5;8;2006;Medvezhya;7;n1;19,65;1,23
8;8;2007;Medvezhya;7;n1;13,1;1,40
14;8;2008;Medvezhya;7;n1;41,375;0,44
15;8;2009;Medvezhya;7;n1;83,55;0,69
2;8;2010;Medvezhya;7;n1;26,2;1,29
1;8;2011;Medvezhya;7;n1;12,7;0,01
4;8;2012;Medvezhya;7;n1;16,375;2,28
4;8;2013;Medvezhya;7;n1;3,275;0,37
30;7;1987;Medvezhya;8;n1;0;0,00
20;8;1988;Medvezhya;8;n1;3;0,41
31;7;1989;Medvezhya;8;n1;1;0,08
31;7;1990;Medvezhya;8;n1;0;0,00
1;8;1991;Medvezhya;8;n1;5;0,95
3;8;1992;Medvezhya;8;n1;1;0,50
14;8;1993;Medvezhya;8;n1;2;0,04
12;8;1994;Medvezhya;8;n1;8;1,60
9;8;1995;Medvezhya;8;n1;33,25;2,71
2;8;1996;Medvezhya;8;n1;11;1,70
24;7;1997;Medvezhya;8;n1;23,1;1,60
4;8;1998;Medvezhya;8;n1;266,25;2,46
16;8;1999;Medvezhya;8;n1;39,3;3,70
24;7;2000;Medvezhya;8;n1;0;0
13;8;2001;Medvezhya;8;n1;58,15;3,54
11;8;2002;Medvezhya;8;n1;54,875;2,93
10;8;2003;Medvezhya;8;n1;9,825;0,37
14;8;2004;Medvezhya;8;n1;29,475;4,15
2;8;2005;Medvezhya;8;n1;22,925;1,90
5;8;2006;Medvezhya;8;n1;26,2;2,98
8;8;2007;Medvezhya;8;n1;32,75;3,05
14;8;2008;Medvezhya;8;n1;9,825;2,03
15;8;2009;Medvezhya;8;n1;187,15;2,50
2;8;2010;Medvezhya;8;n1;16,375;0,34
1;8;2011;Medvezhya;8;n1;55,675;2,19
4;8;2012;Medvezhya;8;n1;52,4;3,31
4;8;2013;Medvezhya;8;n1;13,1;1,98
15;7;1987;Seldyanaya;1;n2;7;0,08
4;8;1988;Seldyanaya;1;n2;28;0,90
21;7;1989;Seldyanaya;1;n2;2;0,30
21;7;1990;Seldyanaya;1;n2;14;0,79
27;7;1991;Seldyanaya;1;n2;11;0,12
22;7;1992;Seldyanaya;1;n2;2;0,02
24;7;1993;Seldyanaya;1;n2;32;0,84
9;8;1994;Seldyanaya;1;n2;0;0,00
4;8;1995;Seldyanaya;1;n2;0;0,00
27;7;1996;Seldyanaya;1;n2;133,45;3,06
20;7;1997;Seldyanaya;1;n2;45,2;1,65
25;7;1998;Seldyanaya;1;n2;2;0,29
15;8;1999;Seldyanaya;1;n2;NA;NA
13;8;2000;Seldyanaya;1;n2;52,4;6,42
6;8;2001;Seldyanaya;1;n2;127,725;5,78
4;8;2002;Seldyanaya;1;n2;62,225;8,14
5;8;2003;Seldyanaya;1;n2;26,2;4,19
7;8;2004;Seldyanaya;1;n2;32,75;5,24
23;7;2005;Seldyanaya;1;n2;52,4;4,19
30;7;2006;Seldyanaya;1;n2;68,375;3,69
4;8;2007;Seldyanaya;1;n2;153,925;4,28
5;8;2008;Seldyanaya;1;n2;133,875;6,88
6;8;2009;Seldyanaya;1;n2;72,05;2,90
28;7;2010;Seldyanaya;1;n2;65,1;4,91
6;8;2011;Seldyanaya;1;n2;119,575;5,22
30;7;2012;Seldyanaya;1;n2;49,125;7,69
29;7;2013;Seldyanaya;1;n2;9,825;1,99
12;7;1987;Seldyanaya;2;n2;2;0,27
28;7;1988;Seldyanaya;2;n2;8;0,90
17;7;1989;Seldyanaya;2;n2;4;0,51
19;7;1990;Seldyanaya;2;n2;3;0,56
22;7;1991;Seldyanaya;2;n2;3;0,77
26;7;1992;Seldyanaya;2;n2;28;3,97
27;7;1993;Seldyanaya;2;n2;8;1,00
9;8;1994;Seldyanaya;2;n2;0;0,00
4;8;1995;Seldyanaya;2;n2;0;0,00
30;7;1996;Seldyanaya;2;n2;65,95;1,72
21;7;1997;Seldyanaya;2;n2;17,55;1,11
27;7;1998;Seldyanaya;2;n2;223,45;0,57
15;8;1999;Seldyanaya;2;n2;NA;NA
6;8;2000;Seldyanaya;2;n2;3,275;0,86
6;8;2001;Seldyanaya;2;n2;3,275;0,27
4;8;2002;Seldyanaya;2;n2;58,95;0,29
5;8;2003;Seldyanaya;2;n2;163,825;4,01
7;8;2004;Seldyanaya;2;n2;154;5,80
23;7;2005;Seldyanaya;2;n2;215,825;7,32
30;7;2006;Seldyanaya;2;n2;114,625;7,05
4;8;2007;Seldyanaya;2;n2;180,125;3,82
5;8;2008;Seldyanaya;2;n2;55,275;0,47
6;8;2009;Seldyanaya;2;n2;88,025;4,83
28;7;2010;Seldyanaya;2;n2;104,4;5,15
6;8;2011;Seldyanaya;2;n2;22,925;1,55
30;7;2012;Seldyanaya;2;n2;19,65;4,96
29;7;2013;Seldyanaya;2;n2;0;0
18;7;1987;Seldyanaya;3;n2;2;0,27
1;8;1988;Seldyanaya;3;n2;1;0,42
14;7;1989;Seldyanaya;3;n2;5;2,30
20;7;1990;Seldyanaya;3;n2;2;0,34
25;7;1991;Seldyanaya;3;n2;4;0,66
28;7;1992;Seldyanaya;3;n2;11;2,30
30;7;1993;Seldyanaya;3;n2;22;3,63
9;8;1994;Seldyanaya;3;n2;0;0,00
4;8;1995;Seldyanaya;3;n2;0;0,00
25;7;1996;Seldyanaya;3;n2;12,55;1,15
22;7;1997;Seldyanaya;3;n2;49,3;1,77
31;7;1998;Seldyanaya;3;n2;76,2;0,06
15;8;1999;Seldyanaya;3;n2;NA;NA
6;8;2000;Seldyanaya;3;n2;13,1;3,14
6;8;2001;Seldyanaya;3;n2;9,825;0,28
4;8;2002;Seldyanaya;3;n2;0;0
5;8;2003;Seldyanaya;3;n2;29,075;3,28
7;8;2004;Seldyanaya;3;n2;175,325;2,64
23;7;2005;Seldyanaya;3;n2;54,475;1,75
30;7;2006;Seldyanaya;3;n2;26,2;3,67
4;8;2007;Seldyanaya;3;n2;22,925;2,72
5;8;2008;Seldyanaya;3;n2;19,25;1,61
6;8;2009;Seldyanaya;3;n2;9,825;2,66
28;7;2010;Seldyanaya;3;n2;0;0
6;8;2011;Seldyanaya;3;n2;25,8;5,73
30;7;2012;Seldyanaya;3;n2;15,975;1,36
29;7;2013;Seldyanaya;3;n2;6,55;1,97
20;7;1987;Seldyanaya;4;n2;1;0,05
24;7;1990;Seldyanaya;4;n2;0;0,00
30;7;1991;Seldyanaya;4;n2;0;0,00
29;7;1992;Seldyanaya;4;n2;2;0,88
1;8;1993;Seldyanaya;4;n2;1;0,01
9;8;1994;Seldyanaya;4;n2;0;0,00
4;8;1995;Seldyanaya;4;n2;0;0,00
29;7;1996;Seldyanaya;4;n2;1;0,65
23;7;1997;Seldyanaya;4;n2;2;0,31
3;8;1998;Seldyanaya;4;n2;5;0,82
15;8;1999;Seldyanaya;4;n2;NA;NA
6;8;2000;Seldyanaya;4;n2;19,25;1,58
6;8;2001;Seldyanaya;4;n2;0;0
4;8;2002;Seldyanaya;4;n2;22,925;2,05
5;8;2003;Seldyanaya;4;n2;6,55;3,31
7;8;2004;Seldyanaya;4;n2;47,925;4,14
23;7;2005;Seldyanaya;4;n2;32,35;0,02
30;7;2006;Seldyanaya;4;n2;3,275;2,78
4;8;2007;Seldyanaya;4;n2;16,375;3,28
5;8;2008;Seldyanaya;4;n2;0;0
28;7;2010;Seldyanaya;4;n2;38,5;3,46
6;8;2011;Seldyanaya;4;n2;3,275;0,61
30;7;2012;Seldyanaya;4;n2;6,55;1,53
29;7;2013;Seldyanaya;4;n2;3,275;1,84
1;8;1987;Medvezhya;5;n2;1;0,10
16;8;1988;Medvezhya;5;n2;3;0,21
25;7;1989;Medvezhya;5;n2;10;0,41
3;8;1990;Medvezhya;5;n2;5;0,05
3;8;1991;Medvezhya;5;n2;15;0,03
3;8;1992;Medvezhya;5;n2;7;0,01
16;8;1993;Medvezhya;5;n2;35;0,24
12;8;1994;Medvezhya;5;n2;14;0,60
9;8;1995;Medvezhya;5;n2;12,55;0,43
2;8;1996;Medvezhya;5;n2;16,55;0,65
24;7;1997;Medvezhya;5;n2;54,9;1,97
10;8;1998;Medvezhya;5;n2;125,85;0,48
16;8;1999;Medvezhya;5;n2;NA;NA
