day;month;year;area;Nst;sample;N.sqmeter
1;8;2011;Medvezhya;7;n3;45,05
4;8;2012;Medvezhya;7;n3;35,225
4;8;2013;Medvezhya;7;n3;13,1
30;7;1987;Medvezhya;8;n3;10
20;8;1988;Medvezhya;8;n3;0
31;7;1989;Medvezhya;8;n3;1
31;7;1990;Medvezhya;8;n3;3
1;8;1991;Medvezhya;8;n3;2
3;8;1992;Medvezhya;8;n3;2
14;8;1993;Medvezhya;8;n3;22
12;8;1994;Medvezhya;8;n3;8
9;8;1995;Medvezhya;8;n3;61,8
2;8;1996;Medvezhya;8;n3;12
24;7;1997;Medvezhya;8;n3;46,35
4;8;1998;Medvezhya;8;n3;228,9
16;8;1999;Medvezhya;8;n3;NA
24;7;2000;Medvezhya;8;n3;6,55
13;8;2001;Medvezhya;8;n3;58,55
11;8;2002;Medvezhya;8;n3;179,8
10;8;2003;Medvezhya;8;n3;22,925
14;8;2004;Medvezhya;8;n3;29,475
2;8;2005;Medvezhya;8;n3;42,575
5;8;2006;Medvezhya;8;n3;32,75
8;8;2007;Medvezhya;8;n3;32,35
14;8;2008;Medvezhya;8;n3;3,275
15;8;2009;Medvezhya;8;n3;215,75
2;8;2010;Medvezhya;8;n3;74,125
1;8;2011;Medvezhya;8;n3;58,95
4;8;2012;Medvezhya;8;n3;36,025
4;8;2013;Medvezhya;8;n3;19,65
