day;month;year;area;Nst;sample;N.sqmeter
16;8;1993;Medvezhya;6;n1;0
12;8;1994;Medvezhya;6;n1;5
9;8;1995;Medvezhya;6;n1;0
2;8;1996;Medvezhya;6;n1;12,55
24;7;1997;Medvezhya;6;n1;9,55
8;8;1998;Medvezhya;6;n1;116,7
16;8;1999;Medvezhya;6;n1;6,55
24;7;2000;Medvezhya;6;n1;19,65
13;8;2001;Medvezhya;6;n1;31,95
11;8;2002;Medvezhya;6;n1;26,2
10;8;2003;Medvezhya;6;n1;22,925
14;8;2004;Medvezhya;6;n1;28,675
2;8;2005;Medvezhya;6;n1;13,1
5;8;2006;Medvezhya;6;n1;9,825
8;8;2007;Medvezhya;6;n1;22,925
14;8;2008;Medvezhya;6;n1;9,825
15;8;2009;Medvezhya;6;n1;35,225
2;8;2010;Medvezhya;6;n1;38,9
1;8;2011;Medvezhya;6;n1;9,825
4;8;2012;Medvezhya;6;n1;9,825
4;8;2013;Medvezhya;6;n1;6,55
26;7;1987;Medvezhya;7;n1;11
11;8;1988;Medvezhya;7;n1;5
29;7;1989;Medvezhya;7;n1;2
30;7;1990;Medvezhya;7;n1;2
1;8;1991;Medvezhya;7;n1;29
3;8;1992;Medvezhya;7;n1;4
14;8;1993;Medvezhya;7;n1;1
12;8;1994;Medvezhya;7;n1;13,05
9;8;1995;Medvezhya;7;n1;10
2;8;1996;Medvezhya;7;n1;13,55
24;7;1997;Medvezhya;7;n1;83,5
4;8;1998;Medvezhya;7;n1;272,8
16;8;1999;Medvezhya;7;n1;114,625
24;7;2000;Medvezhya;7;n1;19,65
13;8;2001;Medvezhya;7;n1;102
11;8;2002;Medvezhya;7;n1;15,975
10;8;2003;Medvezhya;7;n1;76,6
14;8;2004;Medvezhya;7;n1;54,475
2;8;2005;Medvezhya;7;n1;58,15
5;8;2006;Medvezhya;7;n1;19,65
8;8;2007;Medvezhya;7;n1;13,1
14;8;2008;Medvezhya;7;n1;41,375
15;8;2009;Medvezhya;7;n1;83,55
2;8;2010;Medvezhya;7;n1;26,2
1;8;2011;Medvezhya;7;n1;12,7
4;8;2012;Medvezhya;7;n1;16,375
4;8;2013;Medvezhya;7;n1;3,275
30;7;1987;Medvezhya;8;n1;0
20;8;1988;Medvezhya;8;n1;3
31;7;1989;Medvezhya;8;n1;1
31;7;1990;Medvezhya;8;n1;0
1;8;1991;Medvezhya;8;n1;5
3;8;1992;Medvezhya;8;n1;1
14;8;1993;Medvezhya;8;n1;2
12;8;1994;Medvezhya;8;n1;8
9;8;1995;Medvezhya;8;n1;33,25
2;8;1996;Medvezhya;8;n1;11
24;7;1997;Medvezhya;8;n1;23,1
4;8;1998;Medvezhya;8;n1;266,25
16;8;1999;Medvezhya;8;n1;39,3
24;7;2000;Medvezhya;8;n1;0
13;8;2001;Medvezhya;8;n1;58,15
11;8;2002;Medvezhya;8;n1;54,875
10;8;2003;Medvezhya;8;n1;9,825
14;8;2004;Medvezhya;8;n1;29,475
2;8;2005;Medvezhya;8;n1;22,925
5;8;2006;Medvezhya;8;n1;26,2
8;8;2007;Medvezhya;8;n1;32,75
14;8;2008;Medvezhya;8;n1;9,825
15;8;2009;Medvezhya;8;n1;187,15
2;8;2010;Medvezhya;8;n1;16,375
1;8;2011;Medvezhya;8;n1;55,675
4;8;2012;Medvezhya;8;n1;52,4
4;8;2013;Medvezhya;8;n1;13,1
15;7;1987;Seldyanaya;1;n2;7
4;8;1988;Seldyanaya;1;n2;28
21;7;1989;Seldyanaya;1;n2;2
21;7;1990;Seldyanaya;1;n2;14
27;7;1991;Seldyanaya;1;n2;11
22;7;1992;Seldyanaya;1;n2;2
24;7;1993;Seldyanaya;1;n2;32
9;8;1994;Seldyanaya;1;n2;0
4;8;1995;Seldyanaya;1;n2;0
27;7;1996;Seldyanaya;1;n2;133,45
20;7;1997;Seldyanaya;1;n2;45,2
