"area";"depth.m";"place";"country";"region";"continent";"lat.";"long.";"author";"Lmax";"k";"omega"
"Pala_low";"low";"Barents Sea";"Russia";"Barents";"Europe";69,19;33,37;"author data";"NA";"NA";"NA"
"Porchnikha_mid";"middle";"Barents Sea";"Russia";"Barents";"Europe";69,08;36,25;"author data";33,03148;0,09703;3,2050445044
"Ivanovskaya";"subtidal";"Barents Sea";"Russia";"Barents";"Europe";68,29;38,71;"author data";"NA";"NA";"NA"
"Ythan_estuary";;"North Sea";"UK";"North";"Europe";57,3;-1,9;"Chambes, Milne, 1975";15,6216;0,4372;6,82976352
"Budle_Bay";;"North Sea";"UK";"North";"Europe";55,615113;-1,762876;"Brady, 1943";27,1831;0,2815;7,65204265
"Firth_of_Forth";;"North Sea";"UK";"North";"Europe";56,014708;-2,86;"Stephen_1931";"NA";"NA";"NA"
"river_Clwyd";;"Irish Sea";"UK";"Irish";"Europe";53,311959;-3,51;"Parsons_Thomas_1979";42,3713;0,1272;5,38962936
"Lynher_estuary";;"La Manche";"UK";"La Manche";"Europe";50,38;-4,3;"Warwick_Price_1975";14,3301;0,5109;7,32124809
"Wash";;"North";"UK";"North";"Europe";52,85;0,42;"Reading_1979";18,0314;0,3447;6,21542358
"Kaliningrad bay";"shallow water";"Baltic Sea";"Russia";"Baltic";"Europe";54,61;20;"Gusev_JurgensMarkina_2012";23,99;0,1293;3,101907
"Kaliningrad bay";"deep water";"Baltic Sea";"Russia";"Baltic";"Europe";54,61;20;"Gusev_JurgensMarkina_2012";20,61;0,1813;3,736593
