3,3,1994,-1.2,-1.1,-1.1,-1.1,-0.9,-0.9,-0.9
3,18,1994,-1.2,,,,,-1.8
4,11,1994,-0.2,,,,,,-0.2
6,11,1994,7,7,6.5,5,0.8,-0.5,-0.5
6,20,1994,10,9.5,8,6,1.3,-0.4,-0.5
6,30,1994,15,11.7,8,5.2,0.2,-0.4,-0.5
7,11,1994,14.8,12.5,4.5,1.2,0,-0.5,-0.5
7,20,1994,12.6,12.5,12,10.3,4.5,-0.2,-0.2
7,30,1994,15.3,15.1,14,12.2,6,0.1,-0.2
8,11,1994,15.2,15.2,14.6,13.7,8,1,0.6
8,20,1994,14,14,14,13.9,12,1,0.6
9,1,1994,12.5,12.6,12.6,12.1,6,1.2,1.1
9,10,1994,9.8,9.8,8.6,3.5,1.8,0.8,0.8
9,21,1994,8.2,8.6,9,9,7.4,2.9,2.8
9,29,1994,8,8,8,8,6,-0.3,-0.4
10,10,1994,5.5,5.5,5.5,5.1,1.7,0.5,0.4
10,21,1994,3.1,,,,,,0.7
11,3,1994,1.1,2,2.1,2.1,2.1,1.3,0.9
11,12,1994,1,1,1,1,1.5,2.5,2.5
