2,10,1998,-1.1,-0.4,-0.4,-0.5,0.3,0.5
3,18,1998,-0.8,-0.9,-1,-1,-0.5,-0.2
4,12,1998,-0.5,-0.8,-1,-0.9,-0.5,-0.7
6,9,1998,5.2,4.9,1.9,-0.5,-0.8,-0.9,-0.9
6,20,1998,7.8,7.7,6,1.5,-0.4,-0.6,-0.6
6,30,1998,12.7,11.1,8.8,7.9,1,-0.4,-0.4
7,9,1998,16.2,16.2,13.6,7.5,3.1,-0.2,-0.3
7,20,1998,14.7,14.6,12.5,7.1,3,-0.1,-0.4
7,30,1998,14.4,14.5,14.5,11.4,8.5,1.9,1.6
8,9,1998,13.6,13.5,13.5,12.5,7.3,1.1,1
8,20,1998,11.9,12,12,12.2,5.5,1.3,1.2
8,30,1998,11.7,11.7,11.7,11.7,11.5,3.1,2.5
9,10,1998,11.2,11.1,10.7,9,4,1.7,1.6
9,21,1998,9.2,9.3,9.3,9.3,8.8,4.5,3.1
9,30,1998,7.9,7.9,7.9,8.1,7.5,1.5,1.3
10,9,1998,6.5,6.5,6.5,3.5,1.1,0.7,0.6
10,20,1998,4.7,4.6,4.5,4.6,3.4,1.5,0.9
11,1,1998,3.8,3.8,3.8,3.8,3.8,3,2.4
11,11,1998,1.3,1.6,2.5,2.6,3.4,3.7,3.8
