"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(0.1,1.2]";0;0;20;120;0;10;42650;570;40;160;100;500;120;0;60;30;130;160;10;170;0
"(1.2,1.8]";0;25;70;230;0;0;280;1510;150;110;100;550;30;0;40;60;160;70;40;340;50
"(1.8,8]";40;102,5;1240;860;140;20;1670;2290;930;1750;570;1560;490;610;230;170;560;340;930;650;530
"(8,20.4]";10;55;510;560;330;160;200;250;230;340;30;410;500;740;370;300;240;250;360;470;180
