"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(0.1,1.2]";0;0;40;0;10;10;10490;1410;510;300;700;580;240;890;590;770;650;70;1030;1010;120
"(1.2,1.8]";0;13,3333333333333;250;10;110;10;320;4610;1220;130;170;140;340;250;610;710;610;200;20;140;200
"(1.8,8]";68;363,333333333333;790;240;570;190;1940;2360;2910;2930;1530;1330;670;980;510;340;1470;770;450;690;860
"(8,20.4]";40;103,333333333333;280;470;750;380;50;100;290;340;210;400;500;650;490;370;240;270;190;320;650
