year,sample,square,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,Total
2001,mg1,1/10,11,56,60,34,23,30,31,20,17,5,9,11,5,2,0,0,0,0,0,0,314
2001,mg2,1/10,17,37,54,78,56,47,22,25,19,7,4,2,1,1,0,0,0,0,0,0,370
2001,mg3,1/10,12,19,39,36,32,27,17,20,16,4,3,2,5,3,1,0,0,0,0,0,236
2001,mg4,1/10,0,4,7,12,13,7,9,12,7,4,3,1,1,2,1,0,1,0,0,0,84
2002,mg1,1/10,25,40,38,32,17,30,22,17,14,11,3,7,4,1,2,0,0,0,0,0,263
2002,mg2,1/10,41,48,16,29,31,30,27,18,15,3,3,0,0,0,0,0,0,0,0,0,261
2002,mg3,1/10,7,13,7,8,11,12,14,5,2,1,0,0,0,0,0,0,0,0,0,0,80
2002,mg4,1/10,4,5,9,13,15,15,9,13,6,3,2,3,0,0,0,0,0,0,0,0,97
2003,mg1,1/10,19,52,10,16,18,33,25,22,15,10,1,5,0,2,2,0,0,0,0,0,230
2003,mg2,1/10,34,40,3,14,17,22,40,35,19,8,10,2,1,0,0,0,0,0,0,0,245
2003,mg3,1/10,31,83,27,19,20,33,29,19,16,13,2,5,0,2,2,1,0,0,0,0,302
2003,mg4,1/10,31,9,2,4,12,14,20,24,27,13,7,5,5,7,1,1,3,0,0,0,185
2004,mg1-1,1/30,1,64,13,7,2,2,1,1,2,0,2,2,1,0,0,0,0,0,0,0,98
2004,mg1-2,1/30,1,30,7,13,15,8,3,5,2,1,3,5,0,0,0,0,0,0,0,0,93
2004,mg1-3,1/30,0,30,13,8,3,3,0,2,3,5,1,5,0,0,0,0,0,0,0,0,73
2004,mg2-1,1/30,1,15,2,0,2,4,10,8,8,8,0,0,0,0,0,1,0,0,0,0,59
2004,mg2-2,1/30,0,30,3,1,1,0,7,7,10,3,3,3,0,0,0,0,0,0,0,0,68
2004,mg2-3,1/30,4,11,0,1,3,2,5,8,8,3,2,1,0,0,0,0,0,0,0,0,48
2004,mg3-1,1/30,1,0,1,2,0,0,1,4,5,3,2,5,0,0,0,0,0,0,0,0,24
2004,mg3-2,1/30,4,1,4,4,2,1,2,6,10,3,5,1,0,0,0,0,0,0,0,0,43
2004,mg3-3,1/30,5,4,6,2,4,1,1,8,7,4,2,1,2,0,0,0,0,0,0,0,47
2004,mg4-1,1/30,1,3,1,0,0,1,3,4,10,8,14,0,1,0,1,2,0,0,0,0,49
2004,mg4-2,1/30,1,7,1,0,2,2,7,6,7,7,9,2,0,1,0,0,0,0,0,0,52
2004,mg4-3,1/30,0,3,1,0,0,5,7,7,8,11,6,2,1,3,1,0,0,0,0,0,55
2005,mg1,1/10,55,91,35,31,26,26,26,15,22,9,12,9,3,1,0,0,0,0,0,0,361
2005,mg2,1/10,48,71,10,6,6,17,19,35,46,11,6,2,0,0,0,0,0,0,0,0,277
2005,mg3,1/10,0,0,1,8,8,6,15,23,25,26,15,6,2,0,0,0,0,0,0,0,135
2005,mg4,1/10,2,1,2,1,3,3,7,8,19,14,14,7,2,2,0,0,0,0,0,0,85
2006,mg1-1,1/30,10,37,6,3,1,7,4,6,5,6,2,1,0,0,0,0,0,0,0,0,88
2006,mg1-2,1/30,5,24,2,3,5,1,3,4,3,2,4,0,0,0,0,0,0,0,0,0,56
2006,mg1-3,1/30,32,25,5,8,5,6,9,9,10,7,4,3,0,0,0,0,0,0,0,0,123
2006,mg2-1,1/30,11,36,3,3,2,2,5,10,14,9,1,0,0,0,0,0,0,0,0,0,96
2006,mg2-2,1/30,13,22,1,1,1,0,3,2,6,6,4,0,0,0,0,0,0,0,0,0,59
2006,mg2-3,1/30,5,37,3,4,0,2,1,4,3,4,0,1,1,0,0,0,0,0,0,0,65
2006,mg3-1,1/30,4,1,0,0,2,3,4,6,3,2,4,0,2,0,0,0,0,0,0,0,31
