"x"
"1992";50
"1993";157,5
"1994";1750
"1995";1420
"1996";470
"1997";180
"1998";1870
"1999";2540
"2000";1160
"2001";2090
"2002";600
"2003";1970
"2004";990
"2005";1350
"2006";600
"2007";470
"2008";800
"2009";590
"2010";1290
"2011";1120
"2012";710
