"Var1";"Var2";"Var3";"Freq"
"235";"1995";"3mg4";"high";NA
"236";"1996";"3mg4";"high";NA
"237";"1997";"3mg4";"high";NA
"238";"1998";"3mg4";"high";NA
"239";"1999";"3mg4";"high";NA
"240";"2000";"3mg4";"high";NA
"241";"2001";"3mg4";"high";NA
"242";"2002";"3mg4";"high";NA
"243";"2003";"3mg4";"high";NA
"244";"2004";"3mg4";"high";NA
"245";"2005";"3mg4";"high";NA
"246";"2006";"3mg4";"high";NA
"247";"2007";"3mg4";"high";NA
"248";"2008";"3mg4";"high";NA
"249";"2009";"3mg4";"high";NA
"250";"2010";"3mg4";"high";NA
"251";"2011";"3mg4";"high";NA
"252";"2012";"3mg4";"high";NA
"253";"1992";"mg1";"high";80
"254";"1993";"mg1";"high";90
"255";"1994";"mg1";"high";1220
"256";"1995";"mg1";"high";210
"257";"1996";"mg1";"high";260
"258";"1997";"mg1";"high";160
"259";"1998";"mg1";"high";930
"260";"1999";"mg1";"high";3160
"261";"2000";"mg1";"high";6100
"262";"2001";"mg1";"high";3030
"263";"2002";"mg1";"high";2380
"264";"2003";"mg1";"high";2110
"265";"2004";"mg1";"high";NA
"266";"2005";"mg1";"high";3060
"267";"2006";"mg1";"high";NA
"268";"2007";"mg1";"high";NA
"269";"2008";"mg1";"high";NA
"270";"2009";"mg1";"high";1860
"271";"2010";"mg1";"high";900
"272";"2011";"mg1";"high";NA
"273";"2012";"mg1";"high";1800
"274";"1992";"mg10";"high";NA
"275";"1993";"mg10";"high";NA
"276";"1994";"mg10";"high";NA
"277";"1995";"mg10";"high";NA
"278";"1996";"mg10";"high";NA
"279";"1997";"mg10";"high";NA
"280";"1998";"mg10";"high";NA
"281";"1999";"mg10";"high";NA
"282";"2000";"mg10";"high";NA
"283";"2001";"mg10";"high";NA
"284";"2002";"mg10";"high";NA
"285";"2003";"mg10";"high";NA
"286";"2004";"mg10";"high";NA
"287";"2005";"mg10";"high";NA
"288";"2006";"mg10";"high";NA
"289";"2007";"mg10";"high";NA
"290";"2008";"mg10";"high";NA
"291";"2009";"mg10";"high";NA
"292";"2010";"mg10";"high";NA
"293";"2011";"mg10";"high";NA
"294";"2012";"mg10";"high";NA
"295";"1992";"mg11";"high";NA
"296";"1993";"mg11";"high";NA
"297";"1994";"mg11";"high";NA
"298";"1995";"mg11";"high";NA
"299";"1996";"mg11";"high";NA
"300";"1997";"mg11";"high";NA
"301";"1998";"mg11";"high";NA
"302";"1999";"mg11";"high";NA
"303";"2000";"mg11";"high";NA
"304";"2001";"mg11";"high";NA
"305";"2002";"mg11";"high";NA
"306";"2003";"mg11";"high";NA
"307";"2004";"mg11";"high";NA
"308";"2005";"mg11";"high";NA
"309";"2006";"mg11";"high";NA
"310";"2007";"mg11";"high";NA
"311";"2008";"mg11";"high";NA
"312";"2009";"mg11";"high";NA
"313";"2010";"mg11";"high";NA
"314";"2011";"mg11";"high";NA
"315";"2012";"mg11";"high";NA
"316";"1992";"mg1-1";"high";NA
"317";"1993";"mg1-1";"high";NA
"318";"1994";"mg1-1";"high";NA
"319";"1995";"mg1-1";"high";NA
"320";"1996";"mg1-1";"high";NA
"321";"1997";"mg1-1";"high";NA
"322";"1998";"mg1-1";"high";NA
"323";"1999";"mg1-1";"high";NA
"324";"2000";"mg1-1";"high";NA
"325";"2001";"mg1-1";"high";NA
"326";"2002";"mg1-1";"high";NA
"327";"2003";"mg1-1";"high";NA
"328";"2004";"mg1-1";"high";2910
"329";"2005";"mg1-1";"high";NA
"330";"2006";"mg1-1";"high";2340
"331";"2007";"mg1-1";"high";NA
"332";"2008";"mg1-1";"high";NA
"333";"2009";"mg1-1";"high";NA
"334";"2010";"mg1-1";"high";NA
"335";"2011";"mg1-1";"high";NA
"336";"2012";"mg1-1";"high";NA
"337";"1992";"Mg1-1";"high";NA
"338";"1993";"Mg1-1";"high";NA
"339";"1994";"Mg1-1";"high";NA
"340";"1995";"Mg1-1";"high";NA
"341";"1996";"Mg1-1";"high";NA
"342";"1997";"Mg1-1";"high";NA
"343";"1998";"Mg1-1";"high";NA
"344";"1999";"Mg1-1";"high";NA
"345";"2000";"Mg1-1";"high";NA
"346";"2001";"Mg1-1";"high";NA
"347";"2002";"Mg1-1";"high";NA
"348";"2003";"Mg1-1";"high";NA
"349";"2004";"Mg1-1";"high";NA
"350";"2005";"Mg1-1";"high";NA
"351";"2006";"Mg1-1";"high";NA
"352";"2007";"Mg1-1";"high";NA
"353";"2008";"Mg1-1";"high";1050
"354";"2009";"Mg1-1";"high";NA
"355";"2010";"Mg1-1";"high";NA
"356";"2011";"Mg1-1";"high";150
"357";"2012";"Mg1-1";"high";NA
"358";"1992";"mg12";"high";NA
"359";"1993";"mg12";"high";NA
"360";"1994";"mg12";"high";NA
"361";"1995";"mg12";"high";NA
"362";"1996";"mg12";"high";NA
"363";"1997";"mg12";"high";NA
"364";"1998";"mg12";"high";NA
"365";"1999";"mg12";"high";NA
"366";"2000";"mg12";"high";NA
"367";"2001";"mg12";"high";NA
"368";"2002";"mg12";"high";NA
"369";"2003";"mg12";"high";NA
"370";"2004";"mg12";"high";NA
"371";"2005";"mg12";"high";NA
"372";"2006";"mg12";"high";NA
"373";"2007";"mg12";"high";NA
"374";"2008";"mg12";"high";NA
"375";"2009";"mg12";"high";NA
"376";"2010";"mg12";"high";NA
"377";"2011";"mg12";"high";NA
"378";"2012";"mg12";"high";NA
"379";"1992";"mg1-2";"high";NA
"380";"1993";"mg1-2";"high";NA
"381";"1994";"mg1-2";"high";NA
"382";"1995";"mg1-2";"high";NA
"383";"1996";"mg1-2";"high";NA
"384";"1997";"mg1-2";"high";NA
"385";"1998";"mg1-2";"high";NA
"386";"1999";"mg1-2";"high";NA
"387";"2000";"mg1-2";"high";NA
"388";"2001";"mg1-2";"high";NA
"389";"2002";"mg1-2";"high";NA
"390";"2003";"mg1-2";"high";NA
"391";"2004";"mg1-2";"high";2760
"392";"2005";"mg1-2";"high";NA
"393";"2006";"mg1-2";"high";1530
"394";"2007";"mg1-2";"high";NA
"395";"2008";"mg1-2";"high";NA
"396";"2009";"mg1-2";"high";NA
"397";"2010";"mg1-2";"high";NA
"398";"2011";"mg1-2";"high";NA
"399";"2012";"mg1-2";"high";NA
"400";"1992";"Mg1-2";"high";NA
"401";"1993";"Mg1-2";"high";NA
"402";"1994";"Mg1-2";"high";NA
"403";"1995";"Mg1-2";"high";NA
"404";"1996";"Mg1-2";"high";NA
"405";"1997";"Mg1-2";"high";NA
"406";"1998";"Mg1-2";"high";NA
"407";"1999";"Mg1-2";"high";NA
"408";"2000";"Mg1-2";"high";NA
"409";"2001";"Mg1-2";"high";NA
"410";"2002";"Mg1-2";"high";NA
"411";"2003";"Mg1-2";"high";NA
"412";"2004";"Mg1-2";"high";NA
"413";"2005";"Mg1-2";"high";NA
"414";"2006";"Mg1-2";"high";NA
"415";"2007";"Mg1-2";"high";NA
"416";"2008";"Mg1-2";"high";1290
"417";"2009";"Mg1-2";"high";NA
"418";"2010";"Mg1-2";"high";NA
"419";"2011";"Mg1-2";"high";2850
"420";"2012";"Mg1-2";"high";NA
"421";"1992";"mg13";"high";NA
"422";"1993";"mg13";"high";NA
"423";"1994";"mg13";"high";NA
"424";"1995";"mg13";"high";NA
"425";"1996";"mg13";"high";NA
"426";"1997";"mg13";"high";NA
"427";"1998";"mg13";"high";NA
"428";"1999";"mg13";"high";NA
"429";"2000";"mg13";"high";NA
"430";"2001";"mg13";"high";NA
"431";"2002";"mg13";"high";NA
"432";"2003";"mg13";"high";NA
"433";"2004";"mg13";"high";NA
"434";"2005";"mg13";"high";NA
"435";"2006";"mg13";"high";NA
"436";"2007";"mg13";"high";NA
"437";"2008";"mg13";"high";NA
"438";"2009";"mg13";"high";NA
"439";"2010";"mg13";"high";NA
"440";"2011";"mg13";"high";NA
"441";"2012";"mg13";"high";NA
"442";"1992";"mg1-3";"high";NA
"443";"1993";"mg1-3";"high";NA
"444";"1994";"mg1-3";"high";NA
"445";"1995";"mg1-3";"high";NA
"446";"1996";"mg1-3";"high";NA
"447";"1997";"mg1-3";"high";NA
"448";"1998";"mg1-3";"high";NA
"449";"1999";"mg1-3";"high";NA
"450";"2000";"mg1-3";"high";NA
"451";"2001";"mg1-3";"high";NA
"452";"2002";"mg1-3";"high";NA
"453";"2003";"mg1-3";"high";NA
"454";"2004";"mg1-3";"high";2190
"455";"2005";"mg1-3";"high";NA
"456";"2006";"mg1-3";"high";2730
"457";"2007";"mg1-3";"high";NA
"458";"2008";"mg1-3";"high";NA
"459";"2009";"mg1-3";"high";NA
"460";"2010";"mg1-3";"high";NA
"461";"2011";"mg1-3";"high";NA
"462";"2012";"mg1-3";"high";NA
"463";"1992";"Mg1-3";"high";NA
"464";"1993";"Mg1-3";"high";NA
"465";"1994";"Mg1-3";"high";NA
"466";"1995";"Mg1-3";"high";NA
"467";"1996";"Mg1-3";"high";NA
"468";"1997";"Mg1-3";"high";NA
"469";"1998";"Mg1-3";"high";NA
"470";"1999";"Mg1-3";"high";NA
"471";"2000";"Mg1-3";"high";NA
"472";"2001";"Mg1-3";"high";NA
"473";"2002";"Mg1-3";"high";NA
"474";"2003";"Mg1-3";"high";NA
"475";"2004";"Mg1-3";"high";NA
"476";"2005";"Mg1-3";"high";NA
"477";"2006";"Mg1-3";"high";NA
"478";"2007";"Mg1-3";"high";NA
"479";"2008";"Mg1-3";"high";960
"480";"2009";"Mg1-3";"high";NA
"481";"2010";"Mg1-3";"high";NA
"482";"2011";"Mg1-3";"high";3000
"483";"2012";"Mg1-3";"high";NA
"484";"1992";"mg14";"high";NA
"485";"1993";"mg14";"high";NA
"486";"1994";"mg14";"high";NA
"487";"1995";"mg14";"high";NA
"488";"1996";"mg14";"high";NA
"489";"1997";"mg14";"high";NA
"490";"1998";"mg14";"high";NA
"491";"1999";"mg14";"high";NA
"492";"2000";"mg14";"high";NA
"493";"2001";"mg14";"high";NA
"494";"2002";"mg14";"high";NA
"495";"2003";"mg14";"high";NA
"496";"2004";"mg14";"high";NA
"497";"2005";"mg14";"high";NA
"498";"2006";"mg14";"high";NA
"499";"2007";"mg14";"high";NA
"500";"2008";"mg14";"high";NA
"501";"2009";"mg14";"high";NA
"502";"2010";"mg14";"high";NA
"503";"2011";"mg14";"high";NA
"504";"2012";"mg14";"high";NA
"505";"1992";"mg15";"high";60
"506";"1993";"mg15";"high";NA
"507";"1994";"mg15";"high";NA
"508";"1995";"mg15";"high";NA
"509";"1996";"mg15";"high";NA
"510";"1997";"mg15";"high";NA
"511";"1998";"mg15";"high";NA
"512";"1999";"mg15";"high";NA
"513";"2000";"mg15";"high";NA
"514";"2001";"mg15";"high";NA
"515";"2002";"mg15";"high";NA
"516";"2003";"mg15";"high";NA
"517";"2004";"mg15";"high";NA
"518";"2005";"mg15";"high";NA
"519";"2006";"mg15";"high";NA
"520";"2007";"mg15";"high";NA
"521";"2008";"mg15";"high";NA
"522";"2009";"mg15";"high";NA
"523";"2010";"mg15";"high";NA
"524";"2011";"mg15";"high";NA
"525";"2012";"mg15";"high";NA
"526";"1992";"mg16";"high";NA
"527";"1993";"mg16";"high";NA
"528";"1994";"mg16";"high";NA
"529";"1995";"mg16";"high";NA
"530";"1996";"mg16";"high";NA
"531";"1997";"mg16";"high";NA
"532";"1998";"mg16";"high";NA
"533";"1999";"mg16";"high";NA
"534";"2000";"mg16";"high";NA
"535";"2001";"mg16";"high";NA
"536";"2002";"mg16";"high";NA
"537";"2003";"mg16";"high";NA
"538";"2004";"mg16";"high";NA
"539";"2005";"mg16";"high";NA
"540";"2006";"mg16";"high";NA
"541";"2007";"mg16";"high";NA
"542";"2008";"mg16";"high";NA
"543";"2009";"mg16";"high";NA
"544";"2010";"mg16";"high";NA
"545";"2011";"mg16";"high";NA
"546";"2012";"mg16";"high";NA
"547";"1992";"mg17";"high";NA
"548";"1993";"mg17";"high";NA
"549";"1994";"mg17";"high";NA
"550";"1995";"mg17";"high";NA
"551";"1996";"mg17";"high";NA
"552";"1997";"mg17";"high";NA
"553";"1998";"mg17";"high";NA
"554";"1999";"mg17";"high";NA
"555";"2000";"mg17";"high";NA
"556";"2001";"mg17";"high";NA
"557";"2002";"mg17";"high";NA
"558";"2003";"mg17";"high";NA
"559";"2004";"mg17";"high";NA
"560";"2005";"mg17";"high";NA
"561";"2006";"mg17";"high";NA
"562";"2007";"mg17";"high";NA
"563";"2008";"mg17";"high";NA
"564";"2009";"mg17";"high";NA
"565";"2010";"mg17";"high";NA
"566";"2011";"mg17";"high";NA
"567";"2012";"mg17";"high";NA
"568";"1992";"mg2";"high";110
"569";"1993";"mg2";"high";150
"570";"1994";"mg2";"high";NA
"571";"1995";"mg2";"high";NA
"572";"1996";"mg2";"high";NA
"573";"1997";"mg2";"high";NA
"574";"1998";"mg2";"high";NA
"575";"1999";"mg2";"high";NA
"576";"2000";"mg2";"high";NA
"577";"2001";"mg2";"high";NA
"578";"2002";"mg2";"high";NA
"579";"2003";"mg2";"high";NA
"580";"2004";"mg2";"high";NA
"581";"2005";"mg2";"high";NA
"582";"2006";"mg2";"high";NA
"583";"2007";"mg2";"high";NA
"584";"2008";"mg2";"high";NA
"585";"2009";"mg2";"high";NA
"586";"2010";"mg2";"high";NA
"587";"2011";"mg2";"high";NA
"588";"2012";"mg2";"high";NA
"589";"1992";"mg2-1";"high";NA
"590";"1993";"mg2-1";"high";NA
"591";"1994";"mg2-1";"high";NA
"592";"1995";"mg2-1";"high";NA
"593";"1996";"mg2-1";"high";NA
"594";"1997";"mg2-1";"high";NA
"595";"1998";"mg2-1";"high";NA
"596";"1999";"mg2-1";"high";NA
"597";"2000";"mg2-1";"high";NA
"598";"2001";"mg2-1";"high";NA
"599";"2002";"mg2-1";"high";NA
"600";"2003";"mg2-1";"high";NA
"601";"2004";"mg2-1";"high";NA
"602";"2005";"mg2-1";"high";NA
"603";"2006";"mg2-1";"high";NA
"604";"2007";"mg2-1";"high";NA
"605";"2008";"mg2-1";"high";NA
"606";"2009";"mg2-1";"high";NA
"607";"2010";"mg2-1";"high";NA
"608";"2011";"mg2-1";"high";NA
"609";"2012";"mg2-1";"high";NA
"610";"1992";"Mg2-1";"high";NA
"611";"1993";"Mg2-1";"high";NA
"612";"1994";"Mg2-1";"high";NA
"613";"1995";"Mg2-1";"high";NA
"614";"1996";"Mg2-1";"high";NA
"615";"1997";"Mg2-1";"high";NA
"616";"1998";"Mg2-1";"high";NA
"617";"1999";"Mg2-1";"high";NA
"618";"2000";"Mg2-1";"high";NA
"619";"2001";"Mg2-1";"high";NA
"620";"2002";"Mg2-1";"high";NA
"621";"2003";"Mg2-1";"high";NA
"622";"2004";"Mg2-1";"high";NA
"623";"2005";"Mg2-1";"high";NA
"624";"2006";"Mg2-1";"high";NA
"625";"2007";"Mg2-1";"high";NA
"626";"2008";"Mg2-1";"high";NA
"627";"2009";"Mg2-1";"high";NA
"628";"2010";"Mg2-1";"high";NA
"629";"2011";"Mg2-1";"high";NA
"630";"2012";"Mg2-1";"high";NA
"631";"1992";"mg2-2";"high";NA
"632";"1993";"mg2-2";"high";NA
"633";"1994";"mg2-2";"high";NA
"634";"1995";"mg2-2";"high";NA
"635";"1996";"mg2-2";"high";NA
"636";"1997";"mg2-2";"high";NA
"637";"1998";"mg2-2";"high";NA
"638";"1999";"mg2-2";"high";NA
"639";"2000";"mg2-2";"high";NA
"640";"2001";"mg2-2";"high";NA
"641";"2002";"mg2-2";"high";NA
"642";"2003";"mg2-2";"high";NA
"643";"2004";"mg2-2";"high";NA
"644";"2005";"mg2-2";"high";NA
"645";"2006";"mg2-2";"high";NA
"646";"2007";"mg2-2";"high";NA
"647";"2008";"mg2-2";"high";NA
"648";"2009";"mg2-2";"high";NA
"649";"2010";"mg2-2";"high";NA
"650";"2011";"mg2-2";"high";NA
"651";"2012";"mg2-2";"high";NA
"652";"1992";"Mg2-2";"high";NA
"653";"1993";"Mg2-2";"high";NA
"654";"1994";"Mg2-2";"high";NA
"655";"1995";"Mg2-2";"high";NA
"656";"1996";"Mg2-2";"high";NA
"657";"1997";"Mg2-2";"high";NA
"658";"1998";"Mg2-2";"high";NA
"659";"1999";"Mg2-2";"high";NA
"660";"2000";"Mg2-2";"high";NA
"661";"2001";"Mg2-2";"high";NA
"662";"2002";"Mg2-2";"high";NA
"663";"2003";"Mg2-2";"high";NA
"664";"2004";"Mg2-2";"high";NA
"665";"2005";"Mg2-2";"high";NA
"666";"2006";"Mg2-2";"high";NA
"667";"2007";"Mg2-2";"high";NA
"668";"2008";"Mg2-2";"high";NA
"669";"2009";"Mg2-2";"high";NA
"670";"2010";"Mg2-2";"high";NA
"671";"2011";"Mg2-2";"high";NA
"672";"2012";"Mg2-2";"high";NA
"673";"1992";"mg2-3";"high";NA
"674";"1993";"mg2-3";"high";NA
"675";"1994";"mg2-3";"high";NA
"676";"1995";"mg2-3";"high";NA
"677";"1996";"mg2-3";"high";NA
"678";"1997";"mg2-3";"high";NA
"679";"1998";"mg2-3";"high";NA
"680";"1999";"mg2-3";"high";NA
"681";"2000";"mg2-3";"high";NA
"682";"2001";"mg2-3";"high";NA
"683";"2002";"mg2-3";"high";NA
"684";"2003";"mg2-3";"high";NA
"685";"2004";"mg2-3";"high";NA
"686";"2005";"mg2-3";"high";NA
"687";"2006";"mg2-3";"high";NA
"688";"2007";"mg2-3";"high";NA
"689";"2008";"mg2-3";"high";NA
"690";"2009";"mg2-3";"high";NA
"691";"2010";"mg2-3";"high";NA
"692";"2011";"mg2-3";"high";NA
"693";"2012";"mg2-3";"high";NA
"694";"1992";"Mg2-3";"high";NA
"695";"1993";"Mg2-3";"high";NA
"696";"1994";"Mg2-3";"high";NA
"697";"1995";"Mg2-3";"high";NA
"698";"1996";"Mg2-3";"high";NA
"699";"1997";"Mg2-3";"high";NA
"700";"1998";"Mg2-3";"high";NA
"701";"1999";"Mg2-3";"high";NA
"702";"2000";"Mg2-3";"high";NA
"703";"2001";"Mg2-3";"high";NA
"704";"2002";"Mg2-3";"high";NA
"705";"2003";"Mg2-3";"high";NA
"706";"2004";"Mg2-3";"high";NA
"707";"2005";"Mg2-3";"high";NA
"708";"2006";"Mg2-3";"high";NA
"709";"2007";"Mg2-3";"high";NA
"710";"2008";"Mg2-3";"high";NA
"711";"2009";"Mg2-3";"high";NA
"712";"2010";"Mg2-3";"high";NA
"713";"2011";"Mg2-3";"high";NA
"714";"2012";"Mg2-3";"high";NA
"715";"1992";"mg3";"high";0
"716";"1993";"mg3";"high";190
"717";"1994";"mg3";"high";NA
"718";"1995";"mg3";"high";NA
"719";"1996";"mg3";"high";NA
"720";"1997";"mg3";"high";NA
"721";"1998";"mg3";"high";NA
"722";"1999";"mg3";"high";NA
"723";"2000";"mg3";"high";NA
"724";"2001";"mg3";"high";NA
