"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(0.1,1.2]";0;0;20;0;0;0;29840;190;400;160;370;280;160;780;800;800;200;200;60;720;110
"(1.2,1.8]";0;0;50;10;0;10;170;1270;1840;350;230;340;960;570;440;490;300;540;20;80;250
"(1.8,8]";18,5714285714286;116,666666666667;800;10;90;60;650;1570;3440;2140;1610;1320;1200;1700;960;440;380;830;650;1840;1090
"(8,20.4]";54,2857142857143;26,6666666666667;350;190;170;90;110;220;490;490;420;350;320;560;470;390;300;350;220;30;380
