"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(0.1,1.2]";0;0;10;10;0;70;3470;990;0;0;50;350;60;20;10;40;20;10;50;260;10
"(1.2,1.8]";0;0;0;260;30;50;310;1220;0;40;20;50;70;10;0;20;90;30;90;200;20
"(1.8,8]";6,66666666666667;60;220;580;30;80;680;1420;540;600;760;760;490;240;240;140;340;150;830;520;430
"(8,20.4]";6,66666666666667;36,6666666666667;160;250;360;210;100;330;180;200;140;690;940;580;520;490;300;280;220;300;390
