CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
,PROJECT ,Data archaeology and rescue,,,,,,,,
,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,,,,,,,,,
,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
3,NUMBER,UNDER ICE MESUREMENTS,,,,,,,,
STATION,11796,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,4,19,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,-1.3,25.9,
,5,-1.3,,
,10,-1.2,27.7,
,15,-1.2,27.9,
,25,-1.2,28.2,
,50,-1.1,29,
,65,-1.1,29.1,

STATION,11796,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,4,19,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,-1.3,25.9,,,,,,,
,5,-1.3,,,,,,,,
,10,-1.2,27.7,,,,,,,
,15,-1.2,27.9,,,,,,,
,25,-1.2,28.2,,,,,,,
,50,-1.1,29,,,,,,,
,65,-1.1,29.1,,,,,,,

STATION,11819,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,5,12,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,1.9,20.1,,,,,,,
,5,1,,,,,,,,
,10,0.6,23.9,,,,,,,
,15,0,25.9,,,,,,,
,25,-0.8,27.8,,,,,,,
,50,-1.1,28.3,,,,,,,
,65,-1.1,28.6,,,,,,,

STATION,11827,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,5,20,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,5.7,19.9,,,,,,,
,5,5.5,,,,,,,,
,10,2.5,22.5,,,,,,,
,15,-0.1,25.1,,,,,,,
,25,-1,27.8,,,,,,,
,50,-1.1,28.3,,,,,,,
,65,-1.1,28.8,,,,,,,

STATION,11838,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,5,31,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,7,19.4,,,,,,,
,5,6,,,,,,,,
,10,3.7,23.4,,,,,,,
,15,1,24.8,,,,,,,
,25,-0.7,28.5,,,,,,,
,50,-0.9,28.9,,,,,,,
,65,-0.9,29.5,,,,,,,

STATION,11848,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,10,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,8.3,22.8,,,,,,,
,5,8.2,,,,,,,,
,10,6,23.1,,,,,,,
,15,4.7,25.2,,,,,,,
,25,1.4,27.6,,,,,,,
,50,-1,28.9,,,,,,,
,65,-1,29.3,,,,,,,

STATION,11859,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,21,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,11.7,22.1,,,,,,,
,5,7.5,,,,,,,,
,10,2.7,25.6,,,,,,,
,15,1.3,27.1,,,,,,,
,25,0.3,28.4,,,,,,,
,50,-0.8,27.8,,,,,,,
,65,-0.8,29.2,,,,,,,

STATION,11871,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,3,1993

HEADERS,,, , , 
LAT END,66,19.5,,N,
LONG END,33,39.4,,E,
BOTTOM DEPTH,65,m,,,
COMMENTS,,,,,

DETAILS,DEPTH,TEMP,SAL,,
units,m,C,psu,,
decimal places,0,1,1,,
,0,12.5,21.3,,
,5,10.9,,,
,10,10.5,24.5,,
,15,8,24.9,,
,25,2,27.9,,
,50,0.3,28.8,,
,65,0,29.2,,,,,,,

STATION,11879,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,11,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,12.4,20.8,,,,,,,
,5,11.3,,,,,,,,
,10,10.8,24.3,,,,,,,
,15,7.5,24.8,,,,,,,
,25,1.4,27.3,,,,,,,
,50,0.1,27.3,,,,,,,
,65,0,29.3,,,,,,,

STATION,11889,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,21,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,16.8,18.6,,,,,,,
,5,14,,,,,,,,
,10,13,24.3,,,,,,,
,15,11.3,24.5,,,,,,,
,25,6.7,26.3,,,,,,,
,50,1,28.4,,,,,,,
,65,0.6,28.9,,,,,,,

STATION,11899,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,7,31,1993

HEADERS,,, , , 
LAT END,66,19.5,,N,
LONG END,33,39.4,,E,
BOTTOM DEPTH,65,m,,,
COMMENTS,,,,,

DETAILS,DEPTH,TEMP,SAL,,
units,m,C,psu,,
decimal places,0,1,1,,
,0,16.5,19.7,,
,5,15.3,,,
,10,13.6,23.5,,
,15,12.7,23.4,,
,25,9.5,24.5,,
,50,1.6,27.3,,
,65,1.5,27.7,,

STATION,11910,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,11,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,15,23.5,,,,,,,
,5,15.2,,,,,,,,
,10,14.3,22.9,,,,,,,
,15,9.5,23.4,,,,,,,
,25,3,27,,,,,,,
,50,0.8,27.6,,,,,,,
,65,0.6,28,,,,,,,

STATION,11920,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,21,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,13.9,23.1,,,,,,,
,5,13.9,,,,,,,,
,10,13.9,22.8,,,,,,,
,15,13,23.5,,,,,,,
,25,4.5,26.3,,,,,,,
,50,1.4,27.6,,,,,,,
,65,1.4,28,,,,,,,

STATION,11930,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,8,31,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,12,22.8,
,5,12.1,,
,10,12.3,23.1,
,15,12.3,23.2,
,25,2.4,27.2,
,50,0.8,27.9,
,65,0.7,28.2,

STATION,11941,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,11,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,10.4,23.2,,,,,,,
,5,10.4,,,,,,,,
,10,10.4,23.3,,,,,,,
,15,10.4,23.3,,,,,,,
,25,3.4,26.9,,,,,,,
,50,1,27.7,,,,,,,
,65,0.7,28.2,,,,,,,

STATION,11950,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,20,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,7.9,23,,,,,,,
,5,7.9,,,,,,,,
,10,8,23.2,,,,,,,
,15,8.1,23.3,,,,,,,
,25,1.7,27.3,,,,,,,
,50,1.1,27.7,,,,,,,
,65,1,28.1,,,,,,,

STATION,11960,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,9,30,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E
BOTTOM DEPTH,65,m,,
COMMENTS,,,,

DETAILS,DEPTH,TEMP,SAL,
units,m,C,psu,
decimal places,0,1,1,
,0,5.2,24.3,
,5,5.2,,
,10,3.5,25.6,
,15,2.2,26.6,
,25,1,27.8,
,50,0.1,28.1,
,65,0,28.4,

STATION,11970,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,10,10,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,3.9,25,,,,,,,
,5,3.9,,,,,,,,
,10,3.9,25,,,,,,,
,15,3.7,25.1,,,,,,,
,25,2.3,27.2,,,,,,,
,50,0.8,27.7,,,,,,,
,65,0.8,28,,,,,,,

STATION,11980,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,10,20,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,2,25.5,,,,,,,
,5,1.9,,,,,,,,
,10,1.9,25.3,,,,,,,
,15,1.6,25.6,,,,,,,
,25,1.5,26.5,,,,,,,
,50,0.4,27.6,,,,,,,
,65,0.2,27.8,,,,,,,

STATION,11993,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,11,2,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,0.1,26,,,,,,,
,5,,,,,,,,,
,10,0.5,26.2,,,,,,,
,15,0.7,26.9,,,,,,,
,25,0.3,26.5,,,,,,,
,50,-0.4,27.6,,,,,,,
,65,-0.5,26.5,,,,,,,

STATION,12007,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,11,16,1993

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,,,,
BOTTOM DEPTH,65,m,,,,,,,,
COMMENTS,,,,,,,,,,

DETAILS,DEPTH,TEMP,SAL,,,,,,,
units,m,C,psu,,,,,,,
decimal places,0,1,1,,,,,,,
,0,-1.4,,,,,,,,
,5,,,,,,,,,
,10,-0.8,26.4,,,,,,,
,15,-0.6,27.8,,,,,,,
,25,-0.4,27.6,,,,,,,
,50,-0.5,28.4
,65,-0.5,28.4

