taxon;species;Bolshoy_Goreliy;Yakovleva;Lebyazhya;Suhaya_salma;Seldyanaya;Levaya;Kolvica;estuary2;estuary3;estuary4;estuary5;estuary7;estuary8;ZRS;MG1;MG2;MG3;MG4;Estuary;YuG;Lomnishniy;razrez2_high;reazrez2_fucus;razrez2_zostera;razrez2_low
Polychaeta;Pectinaria sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Polychaeta;Phyllodoce groenlandica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Polychaeta;Polychaeta varia;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polychaeta;Polydora quadrilobata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
Polychaeta;Pygospio elegans;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1
Polychaeta;Scalibregma inflatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Polychaeta;Scoloplos armiger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Polychaeta;Spionidae gen. sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Polychaeta;Travisia forbesii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Polychaeta;Tubificoides benedeni;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0
Priapulida;Halicriptus spinulosus;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Priapulida;Priapulus caudatus;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
