year;tidal_level;sample;Length.mm;age
2008;low;Mya10;11,2;8
2008;low;Mya10;9,7;8
2008;low;Mya10;14;11
2008;low;Mya10;12,5;11
2008;low;Mya9;18;11
2008;low;Mya8;15,5;12
2008;low;Mya9;13,5;12
2008;low;Mya9;16,6;12
2008;low;Mya9;17,6;12
2008;low;Mya10;15,5;12
2008;low;Mya9;14,4;13
