year;area;sample;Length.mm;age;k1;k2;k3
2012;Goreliy;mg2;2,5;2;0,9;1,3;NA
2012;Goreliy;mg2;3,2;2;0,9;1,9;NA
2012;Goreliy;mg2;2,8;2;0,9;1,7;NA
2012;Goreliy;mg2;2,8;3;NA;1,5;2,3
2012;Goreliy;mg2;3;2;1;1,8;NA
2012;Goreliy;mg2;1,9;1;1;NA;NA
2012;Goreliy;mg2;2,3;2;0,9;1,5;NA
2012;Goreliy;mg2;2,5;2;0,8;1,7;NA
2012;Goreliy;mg2;2,5;2;1;1,7;NA
2012;Goreliy;mg2;1,5;1;0,7;NA;NA
2012;Estuary;me1;1,2;1;0,7;NA;NA
2012;Estuary;me1;1,3;1;0,8;NA;NA
2012;Estuary;me1;1,4;1;0,9;NA;NA
2012;Estuary;me1;1;1;0,6;NA;NA
2012;Estuary;me1;1,6;1;0,7;NA;NA
2012;Estuary;me1;1,3;1;0,8;NA;NA
2012;Estuary;me1;1;1;0,6;NA;NA
2012;Estuary;me1;1,2;1;0,7;NA;NA
2012;Estuary;me1;2,7;3;0,8;1,3;2,1
2012;Estuary;me1;1,1;1;0,7;NA;NA
2012;Estuary;me1;1,3;1;0,7;NA;NA
2012;Estuary;me1;1,5;1;1;NA;NA
2012;Estuary;me1;1,3;1;0,9;NA;NA
2012;Estuary;me1;2;2;0,7;1,1;NA
2012;Estuary;me1;2,9;3;0,7;1,2;2,2
2012;Estuary;me1;3,3;3;0,6;1,2;2,1
2012;Estuary;me2;1,3;1;0,8;NA;NA
2012;Estuary;me2;1;1;0,8;NA;NA
2012;Estuary;me2;1,5;1;1;NA;NA
2012;Estuary;me2;1,2;1;0,8;NA;NA
2012;Estuary;me2;1,2;1;0,7;NA;NA
2012;Estuary;me2;1;1;0,8;NA;NA
2012;Estuary;me2;1,2;1;0,8;NA;NA
2012;Estuary;me2;1,3;1;0,8;NA;NA
2012;Estuary;me2;1,5;1;1;NA;NA
2012;Estuary;me2;1,2;1;0,9;NA;NA
2012;Estuary;me2;1,4;1;0,8;NA;NA
2012;Estuary;me2;1,3;1;0,7;NA;NA
2012;Estuary;me2;2,6;2;0,7;1,5;NA
2012;Estuary;me2;1,4;1;0,7;NA;NA
2012;Estuary;me2;1,4;1;0,7;NA;NA
2012;Estuary;me3;1,3;1;0,8;NA;NA
2012;Estuary;me3;1,5;1;0,9;NA;NA
2012;Estuary;me3;1,3;1;0,7;NA;NA
2012;Estuary;me3;2,2;2;0,7;1,6;NA
2012;Estuary;me3;1,2;1;0,5;NA;NA
2012;Estuary;me3;1,7;1;1,2;NA;NA
2012;Estuary;me3;1,8;1;0,9;NA;NA
2012;Estuary;me3;2,8;2;0,9;2;NA
2012;Estuary;me3;2,5;2;1;1,9;NA
2012;Estuary;me3;2,9;2;0,7;2,2;NA
2012;Estuary;me3;1,3;1;0,9;NA;NA
2012;Estuary;me3;1,3;1;0,6;NA;NA
2012;Estuary;me3;1,3;1;0,7;NA;NA
2012;Estuary;me3;1,6;1;0,9;NA;NA
2012;Estuary;me3;1,9;2;1;1,7;NA
2012;Estuary;me3;2,5;3;0,6;1,3;2
2012;Estuary;me3;2,2;2;0,6;1,3;NA
2012;Estuary;me3;3;3;0,6;1,1;2
2012;ZRS;mbb2;2,4;2;0,9;1,7;NA
2012;ZRS;mbb2;1,9;1;1;NA;NA
2012;ZRS;mbb2;3,1;2;1;2,5;NA
2012;ZRS;mbb2;2,7;2;1;1,7;NA
2012;ZRS;mbb2;3,5;3;0,7;2;2,8
2012;ZRS;mbb2;3,3;3;0,8;1,5;2,4
2012;ZRS;mbb2;3,2;3;0,8;1,7;2,8
2012;ZRS;mbb1;1,5;1;1;NA;NA
2012;ZRS;mbb1;1,9;1;1;NA;NA
2012;ZRS;mbb1;1,9;1;1;NA;NA
2012;Goreliy;mg4;1,9;2;0,7;1,5;NA
2012;Goreliy;mg4;2,9;2;1,1;2,2;NA
2012;Goreliy;mg4;3;2;1;2;NA
2012;Goreliy;mg4;3,6;2;1;1,9;NA
2012;Goreliy;mg4;1,5;1;0,7;NA;NA
