"Df";"Sum Sq";"Mean Sq";"F value";"Pr(>F)"
"ishodnik$area";2;0,256316619561211;0,128158309780605;5,67753716799744;0,00439753017920829
"ishodnik$age";1;0,196146367987181;0,196146367987181;8,68947395234336;0,00384154713081974
"ishodnik$area:ishodnik$age";2;0,0225189259115255;0,0112594629557628;0,498805106999838;0,608498952892801
"Residuals";121;2,73131729913851;0,0225728702408141;NA;NA
