"N2.all.mean.sqmeter";"N2.all.sem.sqmeter"
"1992";251,25;79,2921812034453
"1993";376,5;46,4490382881577
"1994";745,263157894737;85,1252946513178
"1995";879,473684210526;92,2781835424535
"1996";760,5;81,5006457836862
"1997";748,5;85,3669324615494
"1998";2152,5;312,162976158625
"1999";3558;933,846206204268
"2000";2480;282,013170918361
"2002";2120;410,29922562132
"2004";2487,5;409,436280978882
