"N.all.mean.sqmeter";"N.all.sem.sqmeter"
"1992";251,25;79,2921812034453
"1993";379,5;47,4977838818214
"1994";757,894736842105;86,1928681870826
"1995";882,631578947368;92,3394766466023
"1996";762;81,6784452658878
"1997";798;92,655559097007
"1998";5173,5;2036,50529804058
"1999";4114,5;1085,46702900301
"2000";2502;286,493081442267
"2002";2255;427,080469317818
"2004";3075;501,282446240731
